experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 3594.1750066280365

Genome Size: 150
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -4.27           9.64            -40.83          111.14          
1       500         -1.85           16.84           -28.02          195.62          
2       500         -3.12           12.03           -74.36          88.35           
3       500         -0.61           48.08           -34.96          939.72          
4       500         -1.39           25.56           -68.79          290.00          
5       500         -2.56           14.24           -40.43          149.69          
6       500         -2.36           17.37           -58.27          277.64          
7       500         -2.90           17.88           -54.13          176.91          
8       500         -2.01           14.47           -31.22          149.87          
9       500         0.58            27.92           -57.35          318.95          
10      500         0.10            46.15           -92.66          951.84          
11      500         -0.33           28.35           -48.40          439.71          
12      500         0.20            24.38           -64.72          287.00          
13      500         -0.11           28.43           -96.39          313.80          
14      500         3.42            53.76           -93.83          1001.03         
15      500         2.91            33.36           -72.15          411.30          
16      500         5.58            41.89           -68.00          430.41          
17      500         5.83            42.44           -112.10         302.55          
18      500         10.04           65.86           -93.88          972.06          
19      500         12.46           68.16           -60.64          960.52          
20      500         12.06           62.66           -122.10         887.14          
21      500         19.62           84.17           -210.20         1062.64         
22      500         22.57           83.24           -102.50         942.43          
23      500         25.29           90.11           -78.05          1035.21         
24      500         31.37           99.00           -73.23          995.60          
25      500         27.73           99.70           -111.29         1002.96         
26      500         27.60           89.15           -95.94          962.37          
27      500         25.09           75.77           -84.38          729.81          
28      500         35.49           88.37           -63.41          573.13          
29      500         37.49           90.40           -116.74         460.69          
30      500         39.53           103.81          -243.89         929.97          
31      500         34.21           111.85          -189.11         1075.46         
32      500         26.17           71.29           -82.23          579.87          
33      500         36.70           103.22          -100.84         1034.54         
34      500         41.03           99.82           -77.12          929.81          
35      500         42.89           101.91          -71.28          977.01          
36      500         46.31           110.99          -105.83         1176.86         
37      500         39.86           91.44           -73.26          780.00          
38      500         49.74           110.11          -117.91         941.68          
39      500         41.47           103.98          -169.56         992.65          
40      500         48.56           103.45          -96.38          884.53          
41      500         47.51           105.42          -121.47         686.46          
42      500         45.28           106.06          -147.53         984.18          
43      500         39.65           98.68           -122.74         954.83          
44      500         40.28           86.54           -96.57          434.75          
45      500         42.23           87.77           -84.43          525.69          
46      500         54.30           123.71          -158.84         1065.92         
47      500         60.25           113.56          -196.12         1074.65         
48      500         59.27           119.47          -158.64         953.08          
49      500         44.71           95.25           -85.07          717.72          
50      500         45.72           114.38          -86.10          991.36          
51      500         49.63           98.41           -98.09          433.07          
52      500         66.48           138.63          -86.07          1058.07         
53      500         58.69           110.43          -204.14         651.71          
54      500         57.42           121.93          -95.27          969.08          
55      500         57.80           111.04          -137.15         679.08          
56      500         65.15           133.36          -93.78          1078.84         
57      500         63.42           133.84          -265.09         993.67          
58      500         58.27           113.38          -108.57         983.37          
59      500         71.85           136.95          -54.11          989.98          
60      500         64.90           119.41          -143.73         1007.79         
61      500         58.13           118.93          -128.18         1000.27         
62      500         60.64           124.77          -172.64         989.08          
63      500         66.95           129.95          -90.71          1050.54         
64      500         61.43           134.18          -218.08         1063.07         
65      500         56.41           129.18          -138.53         1014.82         
66      500         50.51           104.27          -130.29         1010.62         
67      500         62.81           127.73          -78.89          1002.26         
68      500         72.70           120.69          -171.88         1039.81         
69      500         65.93           113.12          -107.08         776.54          
70      500         81.53           142.20          -121.28         994.28          
71      500         76.97           135.79          -198.40         1048.90         
72      500         81.55           134.11          -138.39         980.56          
73      500         66.17           108.75          -87.65          447.03          
74      500         72.17           124.95          -80.35          1026.56         
75      500         85.47           142.31          -68.34          1014.20         
76      500         74.05           138.57          -122.50         1066.25         
77      500         82.59           133.59          -101.24         992.71          
78      500         83.23           137.36          -79.27          1058.02         
79      500         81.13           130.03          -82.93          916.00          
80      500         76.63           134.55          -82.53          1053.57         
81      500         76.07           142.51          -146.22         967.04          
82      500         77.08           126.76          -77.48          908.70          
83      500         69.22           113.33          -135.01         462.80          
84      500         80.33           124.54          -57.55          987.96          
85      500         72.89           127.25          -89.28          965.14          
86      500         76.67           121.85          -89.31          927.81          
87      500         86.95           138.12          -204.97         1008.38         
88      500         95.75           146.25          -110.92         985.43          
89      500         74.97           123.21          -204.30         1012.74         
90      500         78.92           129.05          -81.57          1057.08         
91      500         80.97           135.41          -121.54         995.67          
92      500         89.23           151.59          -85.41          1014.74         
93      500         81.37           136.18          -154.37         1019.47         
94      500         72.63           120.43          -54.94          936.02          
95      500         80.78           133.84          -138.00         995.43          
96      500         87.80           141.09          -98.52          992.65          
97      500         95.51           134.00          -66.66          936.51          
98      500         94.37           143.14          -124.98         972.75          
99      500         100.36          126.25          -92.77          682.06          
100     500         101.91          136.54          -110.56         922.32          
101     500         114.27          145.26          -171.13         991.23          
102     500         115.58          149.89          -149.77         979.80          
103     500         107.63          153.86          -165.02         1015.27         
104     500         113.21          138.21          -281.35         991.40          
105     500         133.77          150.86          -274.80         1029.73         
106     500         142.07          150.78          -192.01         1006.92         
107     500         160.11          159.63          -65.11          1068.07         
108     500         151.83          157.19          -105.60         1049.25         
109     500         142.18          142.56          -50.46          995.21          
110     500         164.70          145.86          -59.35          1020.44         
111     500         150.84          145.59          -79.22          1044.63         
112     500         169.45          142.53          -172.29         912.90          
113     500         171.08          149.15          -172.56         992.22          
114     500         175.22          135.87          -51.13          924.16          
115     500         189.27          143.93          -40.58          968.10          
116     500         198.51          148.52          -99.67          975.84          
117     500         192.64          147.18          -36.11          989.51          
118     500         187.98          159.42          -58.07          1037.43         
119     500         199.80          177.23          -69.37          1064.51         
120     500         192.66          150.22          -264.31         976.67          
121     500         187.77          162.49          -131.82         1032.72         
122     500         213.09          152.73          -94.54          1010.95         
123     500         213.37          165.97          -38.53          1037.66         
124     500         210.11          183.14          -35.19          1041.50         
125     500         194.41          155.05          -42.47          992.95          
126     500         209.93          180.78          -60.96          1072.87         
127     500         213.10          171.94          -22.60          1128.92         
128     500         208.19          166.51          -45.62          1028.52         
129     500         215.65          167.57          -53.46          1024.43         
130     500         231.36          190.66          -53.81          989.25          
131     500         226.58          187.97          -35.32          1082.35         
132     500         227.04          212.64          -149.01         1072.66         
133     500         204.46          194.01          -56.07          1041.91         
134     500         232.65          208.23          -86.72          1041.96         
135     500         221.39          208.12          -65.18          1117.38         
136     500         230.24          220.96          -25.46          1129.60         
137     500         222.95          209.69          -42.89          1022.77         
138     500         227.29          221.69          -79.23          1084.35         
139     500         249.55          240.66          -38.29          1215.80         
140     500         245.98          253.98          -64.83          1077.75         
141     500         261.56          252.94          -48.05          1058.49         
142     500         235.46          234.89          -99.46          1120.81         
143     500         251.12          232.19          -27.93          1043.64         
144     500         255.14          250.40          -89.51          1108.08         
145     500         271.04          266.76          -60.92          1080.66         
146     500         285.70          284.07          -99.50          1143.39         
147     500         262.47          262.76          -66.09          1076.98         
148     500         290.39          288.73          -100.36         1097.78         
149     500         320.85          302.66          -46.00          1100.18         
150     500         314.01          305.73          -48.22          1155.80         
151     500         339.58          334.55          -93.48          1152.18         
152     500         321.29          337.36          -102.51         1107.42         
153     500         327.25          330.61          -71.43          1084.28         
154     500         354.62          354.38          -66.63          1133.59         
155     500         351.28          347.61          -195.89         1118.46         
156     500         330.74          341.79          -142.74         1119.11         
157     500         331.72          353.26          -88.55          1082.98         
158     500         365.44          360.87          -99.34          1230.07         
159     500         329.60          336.56          -66.04          1206.77         
160     500         370.10          366.95          -47.65          1074.04         
161     500         332.61          340.39          -37.85          1133.60         
162     500         310.60          336.49          -66.62          1119.67         
163     500         324.88          359.86          -52.68          1138.31         
164     500         341.69          354.70          -64.44          1102.83         
165     500         350.70          351.45          -106.19         1121.40         
166     500         383.99          366.43          -62.22          1083.82         
167     500         377.14          381.48          -27.26          1137.57         
168     500         380.29          376.02          -127.01         1108.27         
169     500         421.02          387.25          -131.85         1166.74         
170     500         371.38          371.72          -39.90          1076.84         
171     500         449.31          401.16          -55.72          1098.50         
172     500         428.18          394.02          -67.33          1119.95         
173     500         461.37          396.29          -50.64          1147.22         
174     500         443.59          386.63          -137.93         1101.96         
175     500         441.89          406.84          -46.21          1149.98         
176     500         461.12          409.16          -75.69          1195.76         
177     500         479.14          413.50          -89.22          1120.44         
178     500         500.89          405.75          -64.03          1096.95         
179     500         439.62          412.45          -76.61          1254.22         
180     500         440.37          408.98          -57.12          1105.47         
181     500         491.07          414.03          -32.84          1147.73         
182     500         459.08          415.11          -51.60          1101.67         
183     500         502.43          420.11          -280.31         1087.10         
184     500         525.87          425.60          -63.03          1145.88         
185     500         528.58          427.49          -88.19          1163.16         
186     500         537.65          429.24          -142.27         1177.18         
187     500         546.77          431.92          -41.41          1148.65         
188     500         554.68          425.98          -55.24          1128.13         
189     500         521.83          433.24          -52.90          1154.03         
190     500         563.40          436.76          -53.08          1116.29         
191     500         610.79          423.74          -50.76          1179.89         
192     500         615.82          430.63          -111.29         1164.10         
193     500         626.80          425.49          -182.65         1172.41         
194     500         651.79          419.18          -91.33          1158.96         
195     500         623.29          429.49          -71.13          1111.56         
196     500         640.65          428.16          -57.90          1190.13         
197     500         668.26          429.48          -103.28         1273.83         
198     500         683.07          420.22          -105.41         1137.66         
199     500         675.26          423.42          -93.73          1157.23         
200     500         697.63          422.01          -154.33         1255.52         
201     500         708.24          412.45          -43.44          1141.32         
202     500         730.56          404.48          -84.49          1143.18         
203     500         714.69          411.51          -34.24          1186.16         
204     500         669.91          418.29          -38.27          1173.82         
205     500         724.96          415.92          -76.87          1455.17         
206     500         736.87          404.44          -18.52          1184.70         
207     500         745.53          406.95          -57.73          1188.20         
208     500         762.81          393.34          -20.06          1245.79         
209     500         763.92          393.84          -78.49          1225.46         
210     500         722.79          414.58          -17.09          1258.42         
211     500         743.11          406.80          -57.38          1143.85         
212     500         756.38          411.65          -51.66          1258.18         
213     500         766.47          399.79          -37.52          1228.26         
214     500         772.48          400.13          -74.25          1202.08         
215     500         784.04          395.12          -30.03          1164.24         
216     500         824.76          370.26          -37.34          1267.99         
217     500         782.26          397.42          -22.53          1153.73         
218     500         786.95          397.05          -124.30         1226.90         
219     500         799.37          386.51          -31.74          1172.15         
220     500         780.45          405.58          -67.93          1210.96         
221     500         833.23          378.68          -12.23          1299.66         
222     500         812.54          386.27          -33.85          1255.04         
223     500         783.45          394.27          -31.75          1208.22         
224     500         792.04          402.34          -5.81           1293.06         
225     500         772.59          402.60          -67.77          1262.65         
226     500         758.42          415.69          -18.84          1217.64         
227     500         743.86          415.90          -62.37          1413.70         
228     500         815.34          382.55          -21.57          1206.14         
229     500         805.85          396.56          -7.32           1237.70         
230     500         789.96          398.95          -20.08          1312.30         
231     500         838.77          384.30          -48.72          1241.92         
232     500         816.31          388.14          -14.43          1209.75         
233     500         824.82          382.54          -81.44          1271.22         
234     500         794.22          397.70          -8.53           1241.41         
235     500         800.49          397.50          -23.42          1310.45         
236     500         834.36          389.45          -23.88          1350.82         
237     500         812.48          390.07          -14.21          1243.48         
238     500         816.79          398.78          -41.98          1345.06         
239     500         780.52          406.17          -30.21          1291.72         
240     500         856.61          373.11          -18.05          1310.88         
241     500         838.70          382.09          -9.41           1290.02         
242     500         839.70          390.35          -156.69         1359.64         
243     500         815.47          402.07          -17.08          1304.25         
244     500         796.48          414.05          -14.85          1327.20         
245     500         786.19          413.80          -17.08          1345.66         
246     500         840.93          389.81          -17.44          1288.59         
247     500         852.57          393.74          -17.81          1307.80         
248     500         861.65          377.26          -9.83           1349.95         
249     500         840.96          391.63          -26.42          1313.98         
250     500         876.37          374.82          -35.58          1314.49         
251     500         861.41          383.08          -72.23          1364.83         
252     500         852.07          389.48          -37.55          1356.92         
253     500         850.28          389.82          -23.88          1316.87         
254     500         914.21          358.57          -1.00           1351.06         
255     500         887.27          382.59          -54.43          1419.69         
256     500         859.93          397.23          -21.56          1352.48         
257     500         839.56          410.02          -33.57          1358.74         
258     500         827.69          410.99          -14.51          1369.78         
259     500         844.17          398.13          -7.30           1349.04         
260     500         871.29          382.54          -10.44          1322.35         
261     500         856.20          394.67          -18.92          1314.78         
262     500         866.61          387.80          -19.52          1502.46         
263     500         878.03          379.61          -27.34          1323.85         
264     500         874.98          387.50          -84.79          1417.56         
265     500         880.13          389.10          -52.37          1344.88         
266     500         877.78          374.20          -22.55          1414.04         
267     500         877.48          398.29          -63.32          1353.23         
268     500         865.85          410.67          -41.52          1403.66         
269     500         921.06          372.23          -21.49          1359.01         
270     500         888.78          389.20          -20.20          1390.70         
271     500         931.09          372.73          -15.55          1396.15         
272     500         925.52          374.72          2.63            1359.57         
273     500         892.16          388.93          -6.14           1463.19         
274     500         934.54          375.59          -3.40           1407.15         
275     500         949.67          352.72          -2.25           1432.14         
276     500         892.20          400.02          -25.08          1427.76         
277     500         902.42          383.19          -15.17          1507.47         
278     500         939.35          379.60          -32.86          1462.55         
279     500         934.90          381.56          -22.96          1425.99         
280     500         921.60          385.52          -2.93           1445.51         
281     500         953.04          379.13          -1.01           1577.12         
282     500         925.64          387.53          -8.99           1370.15         
283     500         944.53          377.25          25.77           1450.31         
284     500         922.69          383.68          -30.94          1490.41         
285     500         955.72          357.72          27.00           1393.07         
286     500         938.95          385.33          -54.08          1491.97         
287     500         956.94          377.55          -4.07           1440.08         
288     500         978.65          354.07          -10.69          1463.21         
289     500         1016.50         323.65          19.37           1443.30         
290     500         986.64          354.00          21.76           1431.50         
291     500         1011.49         340.69          -29.41          1526.59         
292     500         977.86          359.20          -3.24           1461.15         
293     500         999.82          350.86          22.91           1434.87         
294     500         931.91          384.21          28.97           1531.16         
295     500         977.01          363.78          -3.70           1443.98         
296     500         987.48          365.83          17.49           1477.11         
297     500         978.39          368.78          29.93           1430.90         
298     500         1001.05         358.18          19.30           1448.08         
299     500         955.32          380.59          -16.34          1474.54         
300     500         979.00          365.65          -0.21           1474.35         
301     500         1000.59         364.88          35.82           1464.68         
302     500         1008.92         367.83          23.11           1527.33         
303     500         965.75          382.07          -2.18           1471.62         
304     500         979.85          375.67          35.39           1485.21         
305     500         1018.50         359.74          22.91           1464.66         
306     500         1000.38         376.18          27.31           1493.06         
307     500         979.79          368.68          -0.43           1541.28         
308     500         1010.08         358.71          -39.06          1484.35         
309     500         1030.56         341.70          24.13           1457.54         
310     500         1012.60         348.24          38.71           1528.06         
311     500         1010.92         354.69          32.56           1466.49         
312     500         998.36          374.67          18.98           1506.02         
313     500         1020.74         347.91          58.91           1463.44         
314     500         1020.57         358.77          23.17           1481.54         
315     500         971.01          379.51          -8.62           1533.84         
316     500         1021.02         360.20          29.08           1470.47         
317     500         1029.67         357.42          32.37           1503.82         
318     500         1003.66         347.92          19.42           1595.27         
319     500         1035.59         345.26          22.78           1468.85         
320     500         1009.79         356.16          31.23           1560.51         
321     500         1033.60         338.45          34.99           1479.49         
322     500         1015.21         351.61          47.53           1557.57         
323     500         1037.34         350.55          46.35           1501.21         
324     500         998.75          377.36          -9.26           1522.83         
