Number of Generations: 1500
Genome Size: 1620
Inputs: 17
Outputs: 6
--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -551.36         138.70          -1247.25        -193.65         
1       200         -538.09         125.09          -1060.44        -49.49          
2       200         -535.16         127.81          -1094.03        -13.20          
3       200         -534.84         129.98          -1093.16        -159.96         
4       200         -527.97         115.87          -904.51         -166.96         
5       200         -537.45         136.57          -1139.92        2.66            
6       200         -527.62         112.79          -889.97         -44.94          
7       200         -522.07         116.28          -1104.41        -212.44         
8       200         -530.52         109.45          -1009.02        -185.25         
9       200         -528.57         152.65          -1270.20        -99.91          
10      200         -521.97         126.63          -998.13         14.10           
11      200         -513.86         127.88          -1222.13        -150.31         
12      200         -497.70         114.26          -883.98         -134.37         
13      200         -493.97         109.68          -906.80         -130.55         
14      200         -496.14         136.38          -1125.69        40.98           
15      200         -491.15         140.41          -964.65         122.19          
16      200         -480.04         134.28          -860.42         84.25           
17      200         -491.72         151.81          -1107.05        27.34           
18      200         -454.24         155.56          -842.40         216.56          
19      200         -453.12         190.31          -1040.02        318.46          
20      200         -437.30         189.55          -1352.10        291.61          
21      200         -420.90         219.75          -1241.26        399.75          
22      200         -394.11         250.96          -1477.83        157.43          
23      200         -380.65         239.36          -1295.00        258.63          
24      200         -370.57         255.03          -1408.92        357.31          
25      200         -341.43         261.64          -1154.45        309.72          
26      200         -321.14         270.21          -1480.29        429.48          
27      200         -279.76         297.07          -1546.51        459.32          
28      200         -229.94         277.95          -1564.84        425.58          
29      200         -197.50         304.74          -1568.56        318.64          
30      200         -223.82         280.14          -1419.78        522.83          
31      200         -170.70         329.51          -1534.76        458.70          
32      200         -147.77         369.02          -1658.45        809.15          
33      200         -129.71         308.82          -1614.00        757.46          
34      200         -109.03         353.86          -1642.23        745.58          
35      200         -61.14          297.46          -1621.50        521.32          
36      200         -66.06          351.52          -1483.93        752.29          
37      200         -12.49          319.55          -1195.44        817.73          
38      200         -52.97          390.38          -1693.33        798.84          
39      200         -62.08          338.17          -1392.78        769.10          
40      200         -9.33           378.36          -1456.62        831.90          
41      200         32.13           412.93          -1537.96        894.31          
42      200         23.50           381.86          -1284.23        850.19          
43      200         66.56           382.95          -1803.94        809.17          
44      200         68.29           439.67          -1725.60        817.16          
45      200         109.89          410.98          -1831.03        826.49          
46      200         176.21          390.03          -1346.87        988.37          
47      200         241.74          401.77          -1263.21        905.28          
48      200         161.47          456.86          -1189.82        1104.55         
49      200         307.41          395.87          -1336.73        871.22          
50      200         261.42          409.64          -1066.37        1085.39         
51      200         325.11          400.13          -1552.15        1401.40         
52      200         305.92          418.22          -1214.53        1779.68         
53      200         355.18          433.44          -1367.94        1195.95         
54      200         394.35          446.59          -1777.75        1257.12         
55      200         421.60          424.57          -1269.77        1649.18         
56      200         403.92          466.10          -1425.05        1295.12         
57      200         463.11          424.86          -1618.56        1325.07         
