Gym environment: Hopper-v2
Random seed for environment: 0
Number of neurons: 50
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: False
Population size: 200
Number of Generations: 1500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 3350
Inputs: 11
Outputs: 3
--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         34.23           40.01           4.67            244.84          
1       200         49.11           72.69           3.09            754.19          
2       200         36.10           42.01           1.81            295.36          
3       200         37.74           63.65           2.09            676.38          
4       200         50.16           105.36          1.30            999.84          
5       200         59.78           113.52          4.06            1013.72         
6       200         50.47           52.43           2.32            297.00          
7       200         70.85           111.67          2.78            1015.86         
8       200         72.18           117.50          0.80            1020.30         
9       200         58.60           61.32           1.06            537.28          
10      200         72.26           100.34          3.71            996.54          
11      200         71.74           102.16          3.35            1007.37         
12      200         83.48           125.80          0.98            1011.59         
13      200         81.02           116.11          6.63            1006.52         
14      200         86.72           116.92          3.99            1006.94         
15      200         94.84           144.20          4.27            1000.28         
16      200         111.72          160.45          1.17            1015.20         
17      200         96.05           121.04          3.68            1003.49         
18      200         105.23          136.32          4.48            1001.14         
19      200         105.09          122.18          6.70            1004.01         
20      200         107.15          163.60          1.84            1021.27         
21      200         93.97           92.95           4.25            1008.16         
22      200         119.14          158.13          2.62            1019.97         
23      200         130.01          181.98          3.39            1020.97         
24      200         102.71          117.07          6.29            1021.22         
25      200         132.21          169.00          0.92            1018.69         
26      200         131.02          164.36          6.09            1007.42         
27      200         144.16          186.53          5.45            1016.78         
28      200         150.17          220.88          7.31            1023.70         
29      200         165.84          222.89          5.63            1008.38         
30      200         173.98          241.46          2.38            1024.26         
31      200         199.42          251.17          3.77            1023.05         
32      200         206.98          272.11          6.73            1036.52         
33      200         225.05          281.24          4.84            1024.54         
34      200         217.01          281.90          5.50            1019.12         
35      200         200.97          252.00          8.93            1024.18         
36      200         255.49          306.92          5.86            1022.07         
37      200         252.02          291.67          4.26            1026.49         
38      200         246.27          296.10          10.16           1024.79         
39      200         280.14          310.72          6.17            1021.25         
40      200         382.98          375.62          6.42            1023.27         
41      200         353.73          349.16          11.74           1025.72         
42      200         370.01          363.28          2.82            1022.76         
43      200         326.61          333.31          9.06            1022.69         
44      200         355.38          355.05          5.21            1027.89         
45      200         404.96          370.70          8.49            1036.23         
46      200         410.11          379.34          5.43            1026.41         
47      200         427.89          380.16          10.24           1028.15         
48      200         446.66          387.33          8.67            1027.49         
49      200         386.86          367.52          8.75            1027.65         
50      200         390.69          365.41          8.18            1027.01         
51      200         476.98          393.83          8.34            1026.78         
52      200         415.67          356.11          10.42           1025.09         
53      200         438.96          384.02          8.51            1026.57         
54      200         524.96          403.87          10.75           1029.01         
55      200         441.69          392.94          8.27            1035.85         
56      200         536.75          403.90          9.80            1034.24         
57      200         501.20          388.09          6.55            1027.56         
58      200         541.80          404.38          8.63            1030.38         
59      200         558.11          402.64          7.42            1027.36         
60      200         601.86          385.57          11.94           1030.72         
61      200         553.78          406.96          8.72            1027.95         
62      200         525.50          397.81          9.62            1028.24         
63      200         574.34          398.69          9.78            1028.09         
64      200         531.37          407.22          10.57           1026.72         
65      200         591.62          401.08          10.11           1028.42         
66      200         524.91          402.07          8.57            1027.90         
67      200         614.54          403.16          10.87           1028.56         
68      200         583.50          386.91          18.53           1027.54         
69      200         597.95          397.97          6.62            1027.20         
70      200         648.25          392.42          15.61           1028.97         
71      200         634.95          394.20          9.54            1028.73         
72      200         609.31          380.27          8.57            1028.61         
73      200         597.27          388.16          9.60            1028.12         
74      200         611.84          383.73          8.42            1026.80         
75      200         622.61          395.39          7.58            1063.40         
76      200         628.84          389.56          8.15            1027.02         
77      200         619.50          392.88          10.34           1032.19         
78      200         652.26          398.43          17.65           1026.34         
79      200         664.11          401.03          9.08            1028.32         
80      200         692.69          382.15          15.89           1055.48         
81      200         650.76          383.72          7.62            1027.80         
82      200         607.56          405.74          9.65            1045.39         
83      200         672.70          400.04          14.06           1030.17         
84      200         591.76          401.20          9.78            1032.42         
85      200         586.90          389.08          10.42           1027.37         
86      200         682.27          381.85          9.29            1046.55         
87      200         705.93          388.04          14.39           1028.74         
88      200         647.70          392.40          8.43            1053.60         
89      200         694.98          389.63          6.50            1036.88         
90      200         664.51          392.53          5.27            1036.50         
91      200         676.92          382.04          6.39            1032.48         
92      200         622.96          406.42          6.93            1030.57         
93      200         648.63          386.39          9.26            1027.37         
94      200         688.00          393.82          8.22            1027.51         
95      200         698.20          387.64          5.21            1028.65         
96      200         653.46          386.45          6.87            1037.46         
97      200         696.91          379.54          8.56            1027.80         
98      200         700.49          380.31          9.44            1045.12         
99      200         681.19          393.33          5.71            1028.32         
100     200         694.02          385.32          4.65            1038.21         
101     200         726.32          380.62          6.16            1042.57         
102     200         670.06          387.05          6.56            1027.98         
103     200         666.64          387.69          6.73            1028.32         
104     200         743.78          375.41          13.83           1032.62         
105     200         686.47          386.63          5.94            1029.15         
106     200         708.26          389.14          10.31           1028.19         
107     200         690.96          391.82          8.98            1039.25         
108     200         587.43          421.06          8.62            1032.19         
109     200         596.85          400.22          12.33           1027.98         
110     200         696.97          375.71          25.75           1033.30         
111     200         677.66          386.52          8.45            1027.48         
112     200         695.02          383.27          6.68            1030.54         
113     200         680.55          400.22          7.96            1029.13         
114     200         656.60          398.65          18.49           1028.78         
115     200         714.01          378.18          11.02           1038.91         
116     200         707.12          390.26          9.67            1030.90         
117     200         663.39          386.34          19.97           1056.82         
118     200         702.31          387.97          4.90            1027.95         
119     200         688.25          392.04          19.73           1049.74         
120     200         753.07          360.22          17.18           1035.16         
121     200         713.20          382.19          7.61            1028.06         
122     200         722.61          387.94          10.35           1063.98         
123     200         710.14          378.93          11.28           1028.21         
