Gym environment: BipedalWalker-v3
Random seed for environment: 0
Number of neurons: 25
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 250
Number of Generations: 60
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1350
Inputs: 24
Outputs: 4

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       250         -118.60         15.60           -231.77         -99.65          
0       175         -110.44         5.07            -133.01         -99.65          
1       175         -106.64         5.79            -119.35         -73.46          
2       175         -103.41         8.02            -117.05         -73.46          
3       175         -101.00         9.12            -114.76         -73.46          
4       175         -97.01          12.15           -113.87         -73.46          
5       175         -93.64          13.58           -118.71         -73.46          
6       175         -88.96          14.56           -121.81         -73.46          
7       175         -85.68          14.22           -114.29         -72.96          
8       175         -82.33          13.92           -144.09         -72.96          
9       175         -78.95          12.56           -126.46         -41.74          
10      175         -76.70          12.84           -184.10         -38.26          
11      175         -74.94          12.65           -116.32         -30.26          
12      175         -72.67          14.72           -123.25         -30.26          
13      175         -69.65          17.79           -123.16         -25.09          
14      175         -65.20          18.96           -140.67         -7.68           
15      175         -58.56          23.60           -116.68         16.43           
16      175         -51.07          26.75           -117.23         16.43           
17      175         -45.10          32.06           -119.83         16.43           
18      175         -35.54          37.42           -130.08         16.43           
19      175         -24.29          36.54           -118.22         16.43           
20      175         -18.33          42.09           -120.79         77.09           
21      175         -8.03           40.61           -128.38         77.09           
22      175         -1.75           35.90           -117.58         77.09           
23      175         2.47            37.37           -138.57         77.09           
24      175         8.32            33.58           -120.66         77.09           
25      175         14.28           34.74           -133.75         77.09           
26      175         20.63           35.40           -121.44         77.09           
27      175         31.50           38.92           -134.28         84.35           
28      175         42.01           41.63           -116.43         84.35           
29      175         47.27           47.58           -125.58         105.24          
30      175         58.07           40.14           -114.29         105.24          
31      175         62.57           44.49           -115.14         105.24          
32      175         54.63           59.83           -128.99         105.24          
33      175         62.00           55.38           -117.86         105.24          
34      175         67.23           53.14           -124.57         105.24          
35      175         77.71           46.57           -121.54         105.24          
36      175         77.45           55.49           -151.66         105.24          
37      175         86.38           49.10           -130.92         132.78          
38      175         90.57           43.62           -153.91         132.78          
39      175         91.52           45.84           -115.78         132.78          
40      175         95.10           39.06           -112.47         132.78          
40      175         93.44           45.65           -118.46         132.78          
41      175         87.52           54.84           -126.46         132.78          
42      175         92.87           51.24           -120.39         132.78          
43      175         100.07          40.43           -112.44         132.78          
44      175         98.39           49.12           -113.30         132.78          
45      175         105.13          34.82           -112.74         132.78          
46      175         101.84          52.70           -117.64         132.78          
47      175         105.33          51.23           -128.33         132.78          
48      175         104.82          56.05           -125.19         132.78          
49      175         107.37          53.96           -119.28         132.78          
50      175         106.43          61.20           -112.30         132.78          
51      175         109.87          56.50           -134.58         132.78          
52      175         114.38          49.88           -112.54         132.78          
53      175         115.48          50.82           -113.89         132.78          
54      175         116.37          51.70           -118.82         132.78          
55      175         113.29          59.60           -122.31         132.78          
56      175         118.88          49.97           -118.05         132.78          
57      175         114.22          57.19           -118.88         132.78          
58      175         119.44          49.68           -114.53         132.78          
59      175         118.89          50.83           -123.21         132.78          
60      175         116.53          58.77           -121.66         132.78          
60      175         117.97          54.27           -116.30         148.56          

Time elapsed: 14.1546 seconds
