Gym environment: BipedalWalkerHardcore-v3
Random seed for environment: 0
Number of neurons: 25
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 800
Number of Generations: 550
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1350
Inputs: 24
Outputs: 4

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       800         -118.63         19.09           -300.62         -93.15          
0       560         -110.15         4.66            -129.39         -98.72          
1       560         -106.97         3.46            -120.40         -98.54          
2       560         -104.96         2.72            -118.31         -94.80          
3       560         -103.57         2.27            -123.61         -97.13          
4       560         -102.48         1.99            -110.79         -97.13          
5       560         -101.65         2.34            -115.57         -95.74          
6       560         -100.88         2.17            -115.82         -96.96          
7       560         -100.41         2.66            -120.44         -96.96          
8       560         -99.76          2.57            -121.75         -95.30          
9       560         -99.21          2.83            -121.26         -95.30          
10      560         -98.68          2.89            -120.58         -93.60          
11      560         -98.28          2.98            -118.49         -92.72          
12      560         -97.86          3.07            -120.09         -92.72          
13      560         -97.69          3.40            -125.33         -92.72          
14      560         -97.09          2.99            -113.67         -92.72          
15      560         -96.73          3.62            -118.70         -92.72          
16      560         -96.56          4.20            -117.91         -92.72          
17      560         -95.89          4.09            -121.56         -92.72          
18      560         -95.05          3.39            -115.44         -92.72          
19      560         -94.78          3.59            -119.25         -92.72          
20      560         -94.66          3.94            -114.76         -92.72          
21      560         -94.33          3.90            -125.08         -92.72          
22      560         -93.97          3.49            -113.08         -92.72          
23      560         -93.99          3.75            -118.18         -92.72          
24      560         -94.19          4.07            -113.07         -92.72          
25      560         -93.93          3.73            -116.25         -92.72          
26      560         -93.87          3.69            -112.41         -91.63          
27      560         -93.64          3.18            -110.84         -91.63          
28      560         -93.87          3.62            -112.32         -91.63          
29      560         -93.76          3.65            -117.44         -91.63          
30      560         -93.72          3.75            -112.01         -91.63          
31      560         -93.68          3.79            -111.78         -91.63          
32      560         -93.57          3.74            -110.48         -91.63          
33      560         -93.26          3.58            -111.54         -88.78          
34      560         -93.21          3.84            -112.07         -88.78          
35      560         -93.00          3.81            -114.63         -88.78          
36      560         -92.74          3.34            -110.63         -88.78          
37      560         -92.64          3.21            -111.56         -88.78          
38      560         -92.62          3.43            -112.60         -88.78          
39      560         -92.59          3.52            -113.17         -88.78          
40      560         -92.85          4.21            -120.09         -88.78          
41      560         -92.69          4.19            -112.60         -88.78          
42      560         -92.32          4.12            -113.03         -88.78          
43      560         -91.89          4.27            -125.20         -88.78          
