Gym environment: BipedalWalkerHardcore-v3
Random seed for environment: 0
Number of neurons: 25
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 50
Number of Generations: 500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1400
Inputs: 24
Outputs: 4

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       50          -112.97         7.69            -127.79         -97.21          
1       50          -115.52         15.54           -214.38         -99.89          
2       50          -113.84         8.22            -127.36         -97.71          
3       50          -114.51         9.67            -165.41         -98.96          
4       50          -112.24         7.11            -125.54         -100.34         
5       50          -114.20         17.42           -225.03         -100.07         
6       50          -112.57         7.88            -125.92         -93.64          
7       50          -114.02         16.15           -213.18         -98.65          
8       50          -112.54         7.61            -127.23         -101.22         
9       50          -114.53         15.22           -204.35         -98.87          
10      50          -114.03         12.49           -181.80         -96.96          
11      50          -112.51         9.07            -149.63         -97.56          
12      50          -110.05         8.12            -128.50         -94.90          
13      50          -107.70         6.52            -123.30         -92.63          
14      50          -112.77         18.06           -229.03         -98.25          
15      50          -110.92         7.78            -130.88         -97.69          
16      50          -108.17         6.50            -125.94         -99.21          
17      50          -108.78         9.72            -161.23         -98.72          
18      50          -109.16         7.79            -146.31         -98.06          
19      50          -109.30         7.13            -124.49         -99.42          
20      50          -109.61         17.23           -223.19         -100.57         
21      50          -106.71         6.10            -126.94         -99.31          
22      50          -105.84         4.93            -122.40         -97.02          
23      50          -108.36         7.47            -125.34         -99.21          
24      50          -108.29         17.21           -222.55         -96.14          
25      50          -106.27         5.70            -123.43         -99.10          
26      50          -106.19         6.88            -122.68         -96.12          
27      50          -106.41         6.14            -126.26         -100.15         
28      50          -108.98         18.45           -227.59         -100.09         
29      50          -106.43         7.29            -130.53         -95.74          
30      50          -107.01         14.74           -206.84         -99.53          
31      50          -105.31         6.58            -123.95         -98.85          
32      50          -105.08         8.43            -152.05         -99.06          
33      50          -104.67         4.80            -119.70         -99.31          
34      50          -106.83         6.72            -127.69         -100.02         
35      50          -104.62         5.31            -122.86         -98.62          
36      50          -104.11         6.16            -124.57         -99.01          
