Gym environment: Hopper-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: False
Population size: 200
Number of Generations: 2500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1350
Inputs: 11
Outputs: 3

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         8.78            15.64           -2.12           151.95          
1       200         11.61           16.49           -1.21           113.84          
2       200         8.87            13.48           -1.80           76.20           
3       200         11.17           16.50           -1.50           92.93           
4       200         9.84            12.93           -2.03           70.46           
5       200         11.31           16.04           -2.13           95.24           
6       200         12.12           16.39           -1.42           87.16           
7       200         14.41           16.67           -1.39           103.00          
8       200         17.96           21.74           -1.28           112.80          
9       200         22.73           26.14           -1.45           170.03          
10      200         20.29           22.09           -1.05           183.21          
11      200         25.43           22.65           -0.99           111.74          
12      200         28.38           26.12           -0.37           156.40          
13      200         32.02           23.33           -1.22           163.67          
14      200         32.10           23.46           -0.63           156.62          
15      200         31.48           20.73           -0.36           110.18          
16      200         37.95           26.26           -1.50           160.19          
17      200         41.50           27.05           1.29            176.00          
18      200         41.53           28.54           -0.93           176.73          
19      200         43.95           28.94           -1.15           167.69          
20      200         44.31           28.64           -0.81           138.28          
21      200         52.39           38.02           -1.92           231.20          
22      200         50.84           35.07           0.46            172.21          
23      200         52.54           44.98           0.17            238.62          
24      200         61.98           42.15           0.53            200.17          
25      200         70.47           47.90           1.94            287.30          
26      200         72.94           47.61           0.04            229.64          
27      200         82.81           56.47           0.24            272.58          
28      200         88.81           56.10           0.85            260.73          
29      200         97.11           63.75           1.33            329.34          
30      200         88.49           63.08           -0.72           381.34          
31      200         105.50          70.95           -0.46           371.67          
32      200         108.14          68.15           0.26            339.94          
33      200         106.71          66.42           -1.47           301.78          
34      200         114.63          71.48           -0.75           318.15          
35      200         115.32          71.91           -1.02           371.78          
36      200         109.93          72.19           2.26            400.60          
37      200         121.89          80.44           0.11            629.54          
38      200         131.48          83.59           -1.34           601.65          
39      200         126.25          76.02           -0.24           375.57          
40      200         141.16          87.71           4.80            449.14          
41      200         134.51          69.84           -1.53           304.42          
42      200         127.00          77.90           -1.65           462.00          
43      200         127.69          76.53           3.92            362.98          
44      200         134.63          83.85           0.31            427.15          
45      200         130.43          77.65           -1.13           355.94          
46      200         145.36          87.69           15.01           502.28          
47      200         145.62          95.13           3.20            848.48          
48      200         156.35          86.96           5.28            384.13          
49      200         143.65          89.28           5.96            420.86          
50      200         159.19          88.20           3.51            471.76          
51      200         145.44          96.58           2.42            563.65          
52      200         150.71          98.52           0.73            479.92          
53      200         153.82          101.01          1.19            710.61          
54      200         155.18          93.38           7.17            431.48          
55      200         170.63          108.67          9.07            760.41          
56      200         170.59          98.11           10.25           432.12          
57      200         191.67          106.99          12.24           586.66          
58      200         167.92          96.53           6.48            458.18          
59      200         181.68          115.29          8.71            993.79          
60      200         183.96          114.02          5.21            511.01          
61      200         184.98          104.09          9.78            644.42          
62      200         196.91          124.13          6.58            819.39          
63      200         193.30          124.39          21.77           703.28          
64      200         202.17          111.31          12.72           557.64          
65      200         207.79          114.14          4.42            802.11          
66      200         197.77          125.43          8.45            678.38          
67      200         215.87          130.67          0.03            782.99          
68      200         210.86          119.57          8.61            820.36          
69      200         211.17          132.74          12.62           996.99          
70      200         233.81          190.63          6.21            1096.46         
71      200         219.76          121.19          15.32           689.08          
72      200         233.05          144.15          5.67            795.17          
73      200         221.02          138.83          0.79            1013.07         
74      200         242.26          173.99          14.88           1011.00         
75      200         236.87          154.80          5.95            1026.07         
76      200         223.05          167.73          0.39            964.04          
77      200         208.84          134.11          13.53           638.49          
78      200         258.09          171.52          2.77            1033.46         
79      200         245.42          169.53          6.33            1027.74         
80      200         254.76          187.55          5.64            1011.14         
81      200         264.41          192.28          12.60           1041.50         
82      200         265.66          184.43          24.37           1016.93         
83      200         267.41          204.70          4.42            1069.92         
84      200         296.22          202.79          11.18           1054.84         
85      200         285.76          197.53          11.10           1035.61         
86      200         301.97          237.10          19.90           1066.99         
87      200         271.79          207.55          13.37           1008.15         
88      200         313.76          215.12          14.97           1120.52         
89      200         318.03          244.92          13.01           1117.92         
90      200         299.03          233.00          20.74           1058.71         
91      200         324.43          242.93          1.95            1115.12         
92      200         312.13          244.41          16.40           1057.26         
93      200         321.58          233.40          9.55            1073.32         
94      200         307.72          246.82          2.79            1047.41         
95      200         316.52          252.23          9.24            1020.30         
96      200         275.37          248.96          12.92           1204.34         
97      200         306.24          237.64          24.20           1060.77         
98      200         289.11          218.54          20.82           1142.97         
99      200         325.65          241.87          6.46            1064.77         
100     200         310.84          217.92          22.99           1079.90         
101     200         291.94          206.76          7.95            1014.06         
102     200         306.06          232.03          13.98           1120.89         
103     200         336.06          263.09          21.83           1075.83         
104     200         381.03          280.99          29.55           1166.24         
105     200         351.88          265.74          18.30           1178.44         
106     200         395.01          268.88          27.14           1078.03         
107     200         350.64          280.15          8.68            1058.16         
108     200         376.46          276.75          21.46           1165.65         
109     200         373.03          266.17          25.66           1072.08         
110     200         431.45          285.36          23.29           1069.32         
111     200         389.75          276.52          19.38           1102.51         
112     200         390.63          278.03          19.90           1105.53         
113     200         346.40          255.93          23.08           1090.25         
114     200         416.98          294.40          29.70           1140.84         
115     200         404.68          282.94          15.31           1076.85         
116     200         417.61          304.85          16.22           1078.50         
117     200         403.65          309.89          34.77           1153.25         
118     200         432.30          313.09          20.05           1144.70         
119     200         443.90          327.18          22.79           1119.46         
120     200         438.12          324.69          25.16           1133.94         
121     200         410.15          305.45          23.92           1066.71         
122     200         443.46          324.87          16.29           1105.08         
123     200         446.22          322.64          32.31           1213.15         
124     200         436.13          319.90          12.71           1077.86         
125     200         477.13          344.64          40.07           1100.11         
126     200         482.43          325.23          15.41           1171.70         
127     200         456.03          322.44          38.17           1096.95         
128     200         467.01          319.25          24.65           1163.04         
129     200         463.54          314.55          18.91           1128.42         
130     200         490.63          329.30          39.49           1103.53         
131     200         433.13          305.24          13.48           1072.24         
132     200         477.37          323.39          24.50           1185.65         
133     200         454.01          317.67          28.66           1285.13         
134     200         469.87          325.87          22.17           1175.43         
135     200         481.97          316.22          16.43           1089.12         
136     200         522.11          338.74          16.33           1057.95         
137     200         525.69          342.57          26.26           1179.73         
138     200         562.80          351.73          17.79           1173.20         
139     200         547.97          339.55          71.44           1206.84         
140     200         579.39          344.99          24.91           1105.69         
141     200         546.69          353.43          24.88           1135.85         
142     200         527.05          336.74          56.60           1208.85         
143     200         544.74          345.32          62.96           1164.08         
144     200         549.83          351.76          27.05           1155.81         
145     200         577.62          333.78          35.08           1084.37         
146     200         609.19          360.57          54.51           1159.76         
147     200         617.15          333.18          41.59           1218.62         
148     200         617.36          349.69          35.22           1099.82         
149     200         570.44          343.49          48.87           1167.96         
150     200         627.31          346.78          31.30           1102.95         
151     200         598.64          346.36          57.11           1159.39         
152     200         617.51          345.46          21.25           1170.27         
153     200         633.35          346.43          81.20           1121.13         
154     200         611.92          331.24          58.70           1134.58         
155     200         638.92          344.50          46.99           1220.44         
156     200         613.95          343.66          38.32           1127.77         
157     200         622.94          341.33          58.47           1179.92         
158     200         669.01          338.88          94.25           1118.85         
159     200         623.32          326.24          39.69           1187.64         
160     200         629.74          332.20          57.90           1146.62         
161     200         553.78          332.75          36.35           1154.18         
162     200         591.30          316.74          49.91           1180.99         
163     200         641.82          319.78          91.72           1214.68         
164     200         605.16          340.39          35.84           1116.92         
165     200         602.64          348.65          41.13           1171.96         
166     200         628.34          340.29          47.58           1226.49         
167     200         604.22          347.84          47.63           1163.02         
168     200         635.43          335.11          84.71           1133.54         
169     200         617.52          343.83          31.16           1127.57         
170     200         624.83          331.63          47.82           1130.42         
171     200         611.92          345.42          21.43           1170.31         
172     200         660.51          333.89          71.10           1180.88         
173     200         607.31          339.20          59.70           1149.04         
174     200         625.37          345.84          43.95           1188.28         
175     200         630.82          346.78          24.53           1105.88         
176     200         676.41          344.76          45.11           1146.66         
177     200         640.03          329.25          96.57           1177.64         
178     200         688.73          345.16          60.57           1197.10         
179     200         614.51          334.34          79.30           1143.40         
180     200         683.49          357.81          71.91           1172.83         
181     200         656.28          346.12          48.12           1197.73         
182     200         703.49          358.46          46.08           1208.90         
183     200         669.43          344.40          42.85           1305.06         
184     200         666.31          351.98          55.28           1224.38         
185     200         647.58          337.21          61.24           1203.17         
186     200         674.02          341.05          63.53           1162.43         
187     200         710.97          332.31          111.93          1184.69         
188     200         718.55          323.78          120.50          1203.02         
189     200         711.89          347.75          32.42           1237.48         
190     200         718.47          323.38          74.16           1220.96         
191     200         723.71          344.51          46.12           1234.57         
192     200         699.18          352.68          37.93           1212.20         
193     200         682.90          335.25          31.34           1145.53         
194     200         726.06          325.58          46.75           1245.95         
195     200         745.74          338.53          62.28           1169.74         
196     200         729.80          332.83          16.85           1199.00         
197     200         726.34          356.81          33.57           1259.39         
198     200         752.50          353.55          27.54           1197.98         
199     200         750.74          334.50          44.59           1336.37         
200     200         712.21          340.29          37.46           1224.55         
201     200         737.93          332.54          56.17           1210.26         
202     200         739.77          356.56          63.42           1273.68         
203     200         790.05          338.35          77.90           1250.48         
204     200         768.91          324.54          40.31           1224.56         
205     200         741.68          330.13          35.19           1249.98         
206     200         736.68          344.60          18.87           1357.63         
207     200         795.52          329.78          98.52           1197.37         
208     200         798.08          325.56          46.85           1227.67         
209     200         778.02          333.15          35.66           1238.63         
210     200         778.91          323.31          19.01           1194.14         
211     200         795.48          323.99          85.78           1258.60         
212     200         721.48          363.43          50.10           1269.40         
213     200         780.07          324.49          72.83           1211.84         
214     200         802.15          335.19          63.70           1304.40         
215     200         747.01          355.32          71.51           1273.05         
216     200         770.31          333.31          49.47           1231.46         
217     200         794.90          336.94          47.27           1297.46         
218     200         805.31          330.30          85.26           1248.26         
219     200         772.72          351.27          27.19           1230.96         
220     200         801.00          327.60          97.44           1312.78         
221     200         761.90          346.24          40.79           1221.43         
222     200         774.67          341.69          60.14           1292.66         
223     200         764.47          333.37          73.33           1272.53         
224     200         793.22          332.91          71.28           1206.70         
225     200         781.90          330.62          113.42          1244.13         
226     200         832.71          324.34          31.31           1349.02         
227     200         794.81          343.33          69.64           1242.14         
228     200         784.53          338.09          101.14          1265.25         
229     200         797.21          335.18          29.91           1349.26         
230     200         817.77          336.77          16.72           1283.04         
231     200         804.88          333.89          87.57           1311.47         
232     200         738.59          356.00          80.84           1401.21         
233     200         810.94          348.28          44.34           1349.14         
234     200         780.22          328.66          88.17           1239.62         
235     200         846.79          324.03          35.05           1327.80         
236     200         801.70          340.99          70.17           1335.90         
237     200         741.14          356.92          83.23           1278.05         
238     200         774.91          367.37          26.28           1326.59         
239     200         757.09          375.47          51.89           1331.70         
240     200         773.59          369.64          64.02           1339.89         
241     200         794.99          352.98          48.60           1304.92         
242     200         817.32          350.97          86.23           1317.93         
243     200         751.54          371.68          33.02           1425.05         
244     200         750.71          359.89          70.38           1438.87         
245     200         849.23          347.92          71.48           1349.61         
246     200         769.68          357.11          58.47           1321.18         
247     200         783.43          360.71          41.98           1359.55         
248     200         793.04          340.77          46.74           1268.66         
249     200         811.46          346.36          66.64           1266.26         
250     200         858.42          349.41          68.54           1278.54         
251     200         799.57          363.46          92.50           1367.47         
252     200         832.76          336.07          59.28           1341.75         
253     200         825.19          348.64          101.41          1404.64         
254     200         805.40          368.73          48.74           1520.86         
255     200         799.23          366.03          35.39           1338.90         
256     200         829.78          348.59          59.99           1348.91         
257     200         878.76          327.39          55.81           1372.19         
258     200         856.00          366.71          99.28           1487.87         
259     200         822.32          369.66          105.69          1532.68         
260     200         748.79          387.95          80.93           1387.59         
261     200         802.58          389.58          68.18           1454.76         
262     200         763.18          373.53          78.84           1389.67         
263     200         784.27          383.81          81.95           1385.28         
264     200         823.47          373.64          73.39           1380.85         
265     200         766.68          388.12          66.39           1381.12         
266     200         817.50          381.52          74.37           1435.50         
267     200         781.23          365.42          51.60           1332.93         
268     200         817.22          360.79          34.56           1446.61         
269     200         824.49          375.95          61.94           1370.24         
270     200         804.36          367.27          77.92           1411.34         
271     200         889.95          377.85          78.00           1377.68         
272     200         775.08          384.80          71.41           1479.50         
273     200         808.04          379.10          92.04           1389.79         
274     200         845.81          384.47          47.98           1428.98         
275     200         808.16          381.16          86.38           1548.59         
276     200         823.78          384.12          65.16           1429.98         
277     200         865.37          362.95          61.90           1413.11         
278     200         819.93          398.37          45.64           1532.80         
279     200         788.81          403.81          75.96           1472.61         
280     200         774.07          394.06          60.94           1401.48         
281     200         788.64          404.53          68.82           1507.30         
282     200         709.67          418.79          49.77           1493.98         
283     200         791.54          407.73          68.48           1452.63         
284     200         780.89          397.83          48.38           1439.70         
285     200         786.57          403.29          56.03           1635.34         
286     200         735.25          389.93          71.47           1420.81         
287     200         777.16          421.05          35.01           1602.21         
288     200         825.95          400.27          78.64           1509.00         
289     200         809.67          420.66          59.57           1526.70         
290     200         833.34          403.80          61.33           1420.19         
291     200         787.97          407.32          64.91           1518.08         
292     200         771.27          403.08          50.74           1434.71         
293     200         826.31          430.08          77.01           1522.56         
294     200         791.83          384.85          71.63           1636.04         
295     200         828.50          399.44          72.81           1468.63         
296     200         812.72          404.18          69.17           1451.08         
297     200         822.95          412.54          39.37           1525.66         
298     200         799.09          410.34          38.38           1624.70         
299     200         832.25          420.46          58.70           1544.15         
300     200         813.35          404.16          37.88           1465.26         
301     200         804.29          389.65          96.41           1392.79         
302     200         836.49          416.14          83.16           1474.25         
303     200         848.03          397.27          79.25           1646.20         
304     200         811.53          407.43          74.40           1521.35         
305     200         831.94          429.83          78.24           1586.20         
306     200         803.63          421.59          56.88           1618.97         
307     200         846.31          421.30          61.23           1523.32         
308     200         801.30          418.92          73.04           1517.72         
309     200         775.33          418.88          37.26           1527.01         
310     200         817.81          390.70          108.44          1472.48         
311     200         873.24          425.19          105.75          1519.71         
312     200         873.06          423.19          51.23           1668.46         
313     200         805.46          407.08          66.88           1513.30         
314     200         886.15          436.22          93.75           1540.16         
315     200         923.99          411.77          65.98           1543.54         
316     200         877.89          394.15          79.58           1581.50         
317     200         894.91          416.04          69.70           1533.27         
318     200         853.07          404.28          57.65           1543.09         
319     200         878.85          409.02          110.32          1615.75         
320     200         902.99          414.17          114.33          1559.12         
321     200         920.18          422.73          75.65           1683.94         
322     200         888.70          399.96          61.10           1524.62         
323     200         872.09          428.68          71.65           1606.42         
324     200         893.51          428.07          103.10          1652.87         
325     200         873.55          464.76          111.43          1725.46         
326     200         850.81          438.10          75.60           1655.44         
327     200         804.31          445.89          50.36           1801.11         
328     200         855.99          466.53          62.32           1646.73         
329     200         893.89          443.28          79.27           1657.39         
330     200         878.07          463.03          94.41           1804.48         
331     200         848.85          450.02          71.12           1629.10         
332     200         912.11          461.44          53.27           1684.39         
333     200         930.28          445.18          93.62           1681.98         
334     200         882.29          456.98          100.45          1671.72         
335     200         951.26          450.90          113.15          1847.97         
336     200         881.51          471.74          75.77           1859.16         
337     200         874.79          462.34          109.27          1841.52         
