Gym environment: Walker2d-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 200
Number of Generations: 2500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1620
Inputs: 17
Outputs: 6

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -7.49           8.26            -42.45          45.31           
1       200         -6.85           6.87            -23.56          30.66           
2       200         -7.48           6.52            -24.48          31.38           
3       200         -6.39           7.79            -23.43          42.68           
4       200         -6.67           5.70            -20.09          17.72           
5       200         -6.24           8.84            -23.10          52.95           
6       200         -5.87           7.66            -23.37          39.21           
7       200         -5.23           7.71            -20.91          49.69           
8       200         -3.54           18.65           -21.37          227.53          
9       200         -3.76           9.86            -20.64          79.58           
10      200         -1.36           13.94           -19.45          116.29          
11      200         -4.29           8.94            -53.72          48.39           
12      200         5.35            35.92           -18.96          395.51          
13      200         5.32            39.88           -42.07          463.74          
14      200         6.86            27.45           -51.50          153.26          
15      200         12.93           39.65           -63.61          219.99          
16      200         13.33           42.03           -62.45          308.34          
17      200         18.67           45.26           -43.02          310.49          
18      200         23.36           48.85           -74.78          278.25          
19      200         35.32           67.66           -56.68          387.90          
20      200         30.79           62.97           -111.17         290.26          
21      200         31.49           56.58           -38.64          361.62          
22      200         42.25           64.51           -76.39          342.07          
23      200         53.80           82.68           -46.25          553.86          
24      200         56.57           86.90           -50.99          578.88          
25      200         70.15           92.88           -66.98          416.22          
26      200         72.59           96.41           -61.65          481.46          
27      200         81.38           119.20          -82.68          799.31          
28      200         86.56           124.36          -88.13          996.32          
29      200         94.52           118.65          -146.91         492.44          
30      200         119.83          125.34          -76.35          486.04          
31      200         134.23          165.68          -53.10          988.09          
32      200         131.21          150.91          -78.78          1099.17         
33      200         163.97          137.38          -38.24          622.59          
34      200         172.17          156.75          -52.18          908.16          
35      200         198.29          203.51          -55.98          1019.20         
36      200         190.80          132.31          -31.16          620.81          
37      200         198.97          171.26          -54.46          983.97          
38      200         188.37          150.17          -44.51          784.25          
39      200         202.75          179.38          -129.35         1023.82         
40      200         220.33          195.05          -24.82          1045.93         
41      200         241.69          185.84          -78.16          982.20          
42      200         250.99          219.95          -31.37          1240.10         
43      200         258.49          211.92          -25.90          1037.37         
44      200         257.26          236.84          -45.41          1025.38         
45      200         265.62          240.51          -58.41          1074.95         
46      200         263.28          242.09          -56.95          1081.92         
47      200         269.37          257.05          -28.12          1062.01         
48      200         277.53          243.96          -21.20          1025.81         
49      200         291.46          272.05          -41.14          1067.98         
50      200         301.87          293.73          -44.10          1115.34         
51      200         302.58          281.65          -63.38          1045.23         
52      200         371.33          304.90          -20.47          1016.22         
53      200         370.64          306.39          -12.39          1172.07         
54      200         381.67          291.23          -23.40          1059.18         
55      200         421.60          359.65          -47.85          1079.52         
56      200         372.01          321.86          -76.91          1063.77         
57      200         370.84          328.97          -29.53          1147.84         
58      200         497.43          357.98          -13.83          1180.77         
59      200         468.31          356.69          -19.27          1069.50         
60      200         418.12          331.73          -56.09          1062.42         
61      200         485.42          362.60          -36.40          1100.69         
62      200         505.64          370.36          -57.31          1054.70         
63      200         499.33          369.79          -26.49          1141.32         
64      200         497.81          388.01          -102.98         1050.25         
65      200         555.65          381.38          -38.09          1108.71         
66      200         596.72          388.85          -18.61          1079.92         
67      200         608.45          385.75          -12.20          1071.99         
68      200         625.74          396.09          -41.36          1184.69         
69      200         588.57          392.84          -16.54          1077.05         
70      200         591.27          381.23          -45.53          1083.85         
71      200         608.65          407.69          -22.31          1101.47         
72      200         609.81          403.98          -34.76          1116.10         
73      200         629.60          394.91          -42.61          1079.27         
74      200         644.89          405.73          -20.75          1085.55         
75      200         655.92          409.61          -104.05         1081.25         
76      200         623.19          405.55          -91.26          1082.28         
77      200         625.08          417.92          -12.62          1083.44         
78      200         720.50          400.35          -37.50          1133.12         
79      200         671.06          419.69          -5.19           1090.52         
80      200         683.08          412.22          -49.63          1088.23         
81      200         664.41          422.25          -8.35           1121.51         
82      200         627.83          437.33          -15.78          1084.67         
