Gym environment: BipedalWalker-v3
Random seed for environment: 0
Number of neurons: 20
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 150
Number of Generations: 750
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1020
Inputs: 24
Outputs: 4

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -113.71         8.44            -157.97         -99.62          
1       150         -112.46         7.75            -127.42         -53.54          
2       150         -113.39         7.77            -151.92         -98.01          
3       150         -113.38         9.63            -152.10         -95.06          
4       150         -112.16         8.16            -137.23         -96.48          
5       150         -113.47         13.63           -230.06         -94.27          
6       150         -111.02         8.64            -153.64         -94.70          
7       150         -111.49         8.24            -167.64         -97.53          
8       150         -111.78         12.00           -209.77         -96.44          
9       150         -110.82         11.26           -216.32         -94.25          
10      150         -110.82         9.37            -172.60         -98.25          
11      150         -108.97         6.52            -127.80         -98.78          
12      150         -109.54         8.65            -160.60         -93.22          
13      150         -109.64         14.78           -222.47         -91.04          
14      150         -110.79         13.77           -227.24         -96.87          
15      150         -106.86         6.85            -130.79         -91.90          
16      150         -106.64         6.18            -126.41         -98.68          
17      150         -108.22         7.15            -130.43         -97.55          
18      150         -106.66         6.66            -127.49         -94.89          
19      150         -106.96         7.53            -150.22         -93.49          
20      150         -106.93         7.13            -143.47         -96.21          
21      150         -106.29         10.09           -137.26         -44.33          
22      150         -106.85         7.87            -127.23         -93.50          
23      150         -106.77         7.60            -136.60         -96.46          
24      150         -107.16         7.63            -128.99         -87.53          
25      150         -105.27         8.91            -149.79         -41.05          
26      150         -106.75         9.34            -163.95         -97.64          
27      150         -105.77         7.50            -142.13         -96.14          
28      150         -106.21         11.63           -226.69         -96.29          
29      150         -106.77         10.21           -196.56         -96.49          
30      150         -104.81         7.92            -127.89         -49.28          
31      150         -104.86         6.44            -125.50         -95.32          
32      150         -105.05         6.75            -134.92         -96.20          
33      150         -105.05         6.04            -124.07         -96.02          
34      150         -105.04         11.45           -224.78         -93.11          
35      150         -104.18         5.56            -123.84         -96.20          
36      150         -105.25         8.37            -148.94         -74.22          
37      150         -103.53         5.47            -124.14         -94.75          
38      150         -103.58         5.34            -126.02         -97.73          
39      150         -103.49         5.77            -131.43         -92.36          
40      150         -104.19         6.43            -133.15         -97.03          
41      150         -103.72         5.27            -126.52         -96.52          
42      150         -102.82         4.99            -122.51         -94.49          
43      150         -103.96         6.33            -126.38         -96.70          
44      150         -104.38         6.61            -134.18         -93.74          
45      150         -103.65         5.72            -125.17         -95.92          
46      150         -102.87         5.08            -126.84         -95.85          
47      150         -104.04         10.15           -203.98         -95.95          
48      150         -102.40         5.12            -123.59         -92.75          
49      150         -102.20         5.17            -135.04         -93.66          
50      150         -103.34         6.56            -135.62         -89.81          
51      150         -102.10         6.08            -119.30         -50.55          
52      150         -103.33         7.62            -176.06         -94.59          
53      150         -102.91         5.25            -124.86         -95.77          
54      150         -103.29         6.28            -143.29         -92.46          
55      150         -102.57         4.64            -124.13         -96.15          
56      150         -103.18         6.21            -124.66         -92.85          
57      150         -103.65         6.96            -145.18         -93.93          
58      150         -103.71         5.74            -123.50         -92.73          
59      150         -102.45         4.60            -119.35         -95.20          
60      150         -103.17         6.02            -146.54         -95.30          
61      150         -102.57         5.55            -132.22         -95.33          
62      150         -104.11         7.15            -150.70         -97.50          
63      150         -103.11         5.81            -127.59         -94.95          
64      150         -103.23         6.71            -144.15         -91.20          
65      150         -103.16         6.25            -124.72         -87.25          
66      150         -103.55         7.34            -138.71         -70.14          
67      150         -102.60         5.81            -123.99         -92.11          
68      150         -103.70         7.71            -162.75         -81.42          
69      150         -102.89         7.09            -153.79         -94.31          
70      150         -102.28         5.17            -131.32         -95.04          
71      150         -101.93         8.72            -144.07         -26.87          
72      150         -102.15         4.29            -119.27         -93.56          
73      150         -103.12         6.01            -124.49         -93.31          
74      150         -102.31         5.47            -128.84         -91.88          
75      150         -103.24         6.52            -135.82         -96.28          
76      150         -103.03         11.16           -223.91         -95.15          
77      150         -103.00         5.68            -135.51         -96.72          
78      150         -102.26         5.48            -120.97         -96.05          
79      150         -102.17         5.26            -122.46         -93.53          
80      150         -101.56         6.73            -121.70         -43.82          
81      150         -102.27         5.92            -138.53         -95.00          
82      150         -101.09         3.96            -118.98         -94.26          
83      150         -101.59         4.77            -126.48         -95.52          
84      150         -101.74         5.82            -130.20         -91.61          
85      150         -102.60         7.89            -170.04         -94.21          
86      150         -102.30         7.48            -172.09         -94.56          
87      150         -102.33         6.93            -163.24         -95.66          
88      150         -101.32         4.04            -127.01         -92.90          
89      150         -102.29         5.21            -120.93         -96.92          
90      150         -101.96         5.58            -139.54         -95.20          
91      150         -102.98         11.00           -223.07         -95.72          
92      150         -101.88         5.44            -130.60         -94.17          
93      150         -102.01         5.23            -124.33         -93.90          
94      150         -102.63         6.39            -143.93         -95.94          
95      150         -102.11         5.10            -123.52         -91.46          
96      150         -101.98         5.20            -125.57         -96.46          
97      150         -101.39         4.59            -127.37         -95.80          
98      150         -103.21         12.42           -229.96         -94.91          
99      150         -101.69         4.40            -119.99         -94.92          
100     150         -102.38         6.11            -121.75         -86.16          
101     150         -103.39         8.07            -139.05         -92.10          
102     150         -102.25         5.97            -134.17         -92.49          
103     150         -102.35         5.44            -126.25         -95.44          
104     150         -102.17         6.17            -126.42         -87.47          
105     150         -102.11         5.22            -128.08         -96.24          
106     150         -102.33         6.42            -132.51         -95.18          
107     150         -102.92         11.60           -229.14         -93.26          
108     150         -103.20         5.83            -125.64         -94.15          
109     150         -102.31         10.81           -222.71         -96.15          
110     150         -102.23         5.05            -119.61         -95.90          
111     150         -101.80         5.72            -130.01         -96.36          
112     150         -102.27         6.84            -145.61         -93.52          
113     150         -101.66         5.47            -129.37         -93.78          
114     150         -101.76         5.82            -140.06         -93.31          
115     150         -101.89         5.41            -122.95         -93.22          
116     150         -101.72         4.97            -124.55         -95.36          
117     150         -102.57         6.55            -134.21         -94.94          
118     150         -101.37         4.62            -119.66         -93.92          
119     150         -101.33         5.79            -135.57         -84.92          
120     150         -102.41         9.45            -178.07         -55.34          
121     150         -101.41         4.49            -122.10         -92.34          
122     150         -100.98         6.85            -122.91         -43.27          
123     150         -102.16         6.78            -153.92         -91.58          
124     150         -101.22         4.00            -118.58         -94.86          
125     150         -102.75         10.41           -208.39         -94.10          
126     150         -101.33         5.35            -124.56         -87.20          
127     150         -100.88         4.43            -119.39         -89.20          
128     150         -101.96         5.63            -139.23         -94.67          
129     150         -101.72         6.36            -141.53         -80.82          
130     150         -101.73         6.19            -127.19         -72.76          
131     150         -101.71         7.36            -154.50         -92.54          
132     150         -101.41         5.58            -130.41         -90.56          
133     150         -101.93         5.60            -130.74         -93.38          
134     150         -101.84         6.26            -126.70         -88.17          
135     150         -101.25         4.30            -121.31         -95.91          
136     150         -100.49         4.85            -124.26         -88.40          
137     150         -101.63         8.05            -166.10         -75.93          
138     150         -101.62         11.69           -208.60         -37.46          
139     150         -101.68         6.95            -126.45         -64.11          
140     150         -101.32         9.39            -148.75         -32.62          
141     150         -103.58         9.54            -162.71         -86.79          
142     150         -101.81         8.11            -135.71         -58.83          
143     150         -101.42         14.81           -135.90         -7.65           
144     150         -103.47         11.48           -158.55         -41.54          
145     150         -101.97         9.25            -125.09         -45.19          
146     150         -104.77         12.56           -142.61         -19.95          
147     150         -103.81         14.67           -157.54         -38.77          
148     150         -105.75         15.08           -222.27         -81.97          
149     150         -100.98         15.76           -154.72         23.16           
150     150         -103.24         13.95           -173.18         -44.98          
151     150         -105.67         17.52           -183.45         -34.35          
152     150         -103.55         11.38           -163.21         -52.04          
153     150         -105.10         20.85           -247.44         -35.26          
154     150         -104.01         15.03           -169.86         -52.20          
155     150         -107.25         19.42           -182.81         -56.30          
156     150         -106.70         20.23           -198.37         -21.86          
157     150         -103.17         22.02           -210.05         -22.80          
158     150         -105.41         20.82           -213.94         -14.68          
159     150         -104.32         20.05           -181.65         -31.50          
160     150         -104.76         13.46           -161.70         -51.15          
161     150         -104.72         18.19           -214.17         -64.35          
162     150         -100.57         16.67           -151.01         -1.09           
163     150         -103.33         21.50           -173.40         -19.69          
164     150         -104.26         18.90           -178.39         -31.14          
165     150         -103.73         21.73           -193.18         47.81           
166     150         -107.23         20.45           -194.65         -20.69          
167     150         -105.63         20.86           -213.96         -31.20          
168     150         -105.56         21.45           -205.01         -51.67          
169     150         -102.32         23.76           -196.30         48.98           
170     150         -103.33         20.86           -184.98         -29.81          
171     150         -102.44         24.30           -221.56         -39.75          
172     150         -104.06         28.33           -216.30         23.01           
173     150         -103.38         28.15           -238.79         13.55           
174     150         -103.54         22.62           -222.13         1.33            
175     150         -103.51         25.61           -210.96         -12.42          
176     150         -103.96         24.41           -199.37         -21.42          
177     150         -107.72         22.73           -184.69         -49.19          
178     150         -103.89         30.02           -196.16         23.58           
179     150         -103.52         29.24           -205.59         2.54            
180     150         -100.80         32.53           -192.09         2.20            
181     150         -101.13         24.42           -179.82         -22.96          
182     150         -104.98         32.21           -208.41         9.84            
183     150         -101.63         30.09           -188.76         15.53           
184     150         -102.82         31.60           -226.22         -9.01           
185     150         -102.01         28.65           -188.05         3.44            
186     150         -101.11         34.26           -216.58         28.41           
187     150         -99.30          27.11           -148.87         0.97            
188     150         -100.89         31.79           -202.36         51.88           
189     150         -96.56          27.81           -152.10         26.32           
190     150         -101.16         35.83           -211.68         39.86           
191     150         -101.67         32.86           -189.49         29.71           
192     150         -102.66         34.87           -194.64         71.22           
193     150         -92.82          32.60           -177.55         41.01           
194     150         -96.52          39.72           -199.57         50.75           
195     150         -96.84          37.08           -203.06         40.91           
196     150         -91.55          41.33           -216.09         25.31           
197     150         -101.97         38.34           -216.44         85.51           
198     150         -93.14          36.48           -179.69         76.58           
199     150         -94.54          41.42           -174.80         109.43          
200     150         -99.24          33.90           -164.70         83.56           
201     150         -89.60          46.66           -244.33         148.43          
202     150         -86.40          44.34           -172.87         87.49           
203     150         -98.24          45.99           -213.69         111.70          
204     150         -87.80          51.27           -173.61         174.36          
205     150         -91.57          43.95           -199.42         80.91           
206     150         -74.87          56.66           -220.10         108.39          
207     150         -77.13          62.80           -195.33         163.26          
208     150         -61.50          63.45           -188.44         176.42          
209     150         -66.26          64.82           -190.63         156.08          
210     150         -71.64          67.34           -176.95         155.01          
211     150         -67.04          66.63           -182.04         153.98          
212     150         -55.44          72.95           -223.84         143.22          
213     150         -49.25          76.87           -218.61         180.95          
214     150         -50.21          77.03           -192.10         146.39          
215     150         -59.77          74.25           -181.40         201.21          
216     150         -49.96          80.76           -204.40         176.70          
217     150         -57.68          75.16           -182.92         149.71          
218     150         -45.79          82.63           -204.63         161.68          
219     150         -45.20          84.69           -187.84         155.14          
220     150         -43.83          82.05           -163.09         130.36          
221     150         -34.80          86.97           -171.90         166.76          
