Gym environment: Walker2d-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 200
Number of Generations: 1500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1152
Inputs: 17
Outputs: 6

Number of neurons in hidden layer 1: 32
Number of neurons in hidden layer 2: 16

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -4546.45        4878.01         -39397.83       -460.33         
1       200         -3677.99        4325.84         -39113.67       -68.36          
2       200         -2740.60        3037.45         -23550.32       -120.78         
3       200         -1622.40        1621.38         -15170.94       -138.72         
4       200         -1357.28        1392.04         -10202.04       -83.75          
5       200         -1386.78        1793.51         -14648.40       -47.42          
6       200         -1131.74        1028.40         -6791.88        -39.40          
7       200         -938.89         1723.59         -19839.31       -18.27          
8       200         -824.45         1224.26         -14542.06       -110.57         
9       200         -663.63         725.73          -4438.10        -20.17          
10      200         -491.85         555.28          -4663.12        -22.00          
11      200         -457.75         495.57          -4474.25        -16.95          
12      200         -331.41         330.84          -1937.10        -20.46          
13      200         -387.73         589.50          -5788.69        -20.23          
14      200         -275.20         264.27          -2347.26        -9.20           
15      200         -236.42         224.90          -1637.63        -15.36          
16      200         -238.80         292.78          -2689.08        -7.14           
17      200         -185.79         227.29          -1530.71        1.10            
18      200         -172.49         218.83          -1963.57        -0.55           
19      200         -151.00         236.02          -2059.54        2.17            
20      200         -120.91         142.34          -801.36         0.90            
21      200         -121.17         147.10          -1005.52        32.06           
22      200         -89.25          120.63          -807.03         11.66           
23      200         -73.89          111.43          -874.43         70.04           
24      200         -84.93          146.77          -914.59         6.64            
25      200         -90.28          213.46          -2267.54        10.51           
26      200         -73.08          193.55          -1700.22        11.70           
27      200         -72.75          180.31          -1405.84        22.70           
28      200         -74.67          150.22          -983.58         13.37           
29      200         -74.49          213.19          -1895.69        16.83           
30      200         -40.25          105.13          -822.30         69.11           
31      200         -43.07          118.82          -791.31         301.12          
32      200         -28.72          76.27           -541.25         41.46           
33      200         -57.76          188.41          -2101.56        43.78           
34      200         -49.55          143.14          -971.01         50.02           
35      200         -53.47          164.58          -1575.02        28.62           
36      200         -62.87          280.59          -3382.64        43.62           
37      200         -64.06          295.82          -3541.01        35.74           
38      200         -63.84          218.82          -1683.32        40.27           
39      200         -59.39          165.06          -1124.01        319.91          
40      200         -75.58          272.10          -2046.41        119.27          
41      200         -42.19          138.30          -947.43         174.79          
42      200         -32.96          141.87          -1211.63        356.33          
43      200         -68.95          289.24          -2315.08        160.34          
44      200         -58.05          215.84          -1614.98        240.76          
45      200         -58.01          262.54          -2807.30        334.31          
46      200         -90.99          470.08          -4741.29        380.26          
47      200         -142.18         1176.72         -16008.31       410.59          
48      200         -34.46          131.24          -1083.75        100.88          
49      200         -41.59          182.49          -1843.42        317.18          
50      200         -65.80          414.83          -4856.23        345.41          
51      200         -75.89          294.78          -2637.64        254.73          
52      200         -55.41          339.89          -4316.23        290.53          
53      200         -35.95          203.12          -2052.36        376.35          
54      200         -45.81          300.01          -3572.59        394.24          
55      200         -47.95          222.53          -1792.57        257.11          
56      200         -33.98          220.91          -2407.89        229.08          
57      200         -28.86          149.61          -900.03         321.13          
58      200         -48.49          343.45          -3815.54        246.56          
59      200         -33.81          179.89          -1462.22        415.18          
60      200         -92.39          541.28          -4212.77        286.74          
61      200         -59.49          377.29          -4415.91        251.93          
62      200         -19.14          150.60          -1306.47        286.80          
63      200         -39.93          338.35          -3037.31        328.01          
64      200         -52.08          645.05          -9076.62        289.37          
65      200         -8.46           78.94           -572.79         255.02          
66      200         -62.88          661.03          -9203.43        295.80          
67      200         -31.56          211.60          -1558.07        972.57          
68      200         -39.63          572.66          -7948.58        993.40          
69      200         -30.90          232.90          -2693.14        456.21          
70      200         -6.14           152.14          -1596.54        285.55          
71      200         -14.19          188.58          -2334.97        296.90          
72      200         -9.13           149.18          -1138.26        1013.07         
73      200         -61.97          502.99          -4992.58        298.20          
74      200         -16.50          188.49          -2122.15        297.00          
75      200         -38.72          354.35          -4598.69        441.34          
76      200         -1.26           113.08          -866.94         347.86          
77      200         -30.75          312.12          -3428.89        984.04          
78      200         -213.86         2984.42         -42253.34       305.20          
79      200         -16.14          121.85          -886.90         309.27          
80      200         -71.80          352.89          -3376.13        343.73          
81      200         0.67            152.57          -1009.77        810.79          
82      200         -6.79           240.67          -3226.29        327.15          
83      200         -37.41          365.35          -4586.19        352.97          
