Gym environment: Hopper-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 200
Number of Generations: 2500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 2848
Inputs: 11
Outputs: 3

Number of neurons in hidden layer 1: 64
Number of neurons in hidden layer 2: 32

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         13.76           25.31           -0.96           202.25          
1       200         12.17           17.63           -1.64           132.67          
2       200         14.48           22.77           -1.77           157.45          
3       200         10.99           16.66           -0.90           128.01          
4       200         13.92           24.33           -2.07           173.92          
5       200         14.13           21.10           -1.62           140.99          
6       200         13.82           20.00           -1.49           118.55          
7       200         17.33           36.04           -1.76           346.67          
8       200         16.83           25.88           -1.70           190.50          
9       200         15.39           27.79           -1.79           213.89          
10      200         18.83           24.24           -1.69           149.36          
11      200         16.18           23.39           -1.80           133.10          
12      200         23.46           34.58           -1.13           194.08          
13      200         25.93           36.54           -1.48           253.17          
14      200         26.43           33.28           -1.32           173.73          
15      200         33.61           52.38           -0.08           509.68          
16      200         30.39           35.50           0.35            217.00          
17      200         32.17           40.07           -1.22           302.39          
18      200         40.37           45.38           0.78            277.71          
19      200         42.99           48.65           -1.39           240.83          
20      200         48.38           70.27           1.09            775.33          
21      200         53.35           61.45           -1.45           542.50          
22      200         55.79           54.92           -0.92           323.31          
23      200         64.78           61.32           0.26            434.73          
24      200         75.34           64.69           0.52            381.95          
25      200         73.62           67.56           -1.23           335.60          
26      200         84.38           100.30          -0.53           1016.09         
27      200         95.57           99.97           2.59            1041.86         
28      200         78.62           70.62           2.62            389.77          
29      200         97.51           99.07           1.94            990.97          
30      200         109.46          85.70           -0.28           441.55          
31      200         109.52          83.43           3.13            414.94          
32      200         114.92          89.34           2.16            389.47          
33      200         119.78          94.22           1.45            510.25          
34      200         129.99          114.18          6.88            1021.66         
35      200         111.34          98.05           0.13            554.69          
36      200         122.73          100.28          3.16            765.27          
37      200         129.56          117.16          2.39            998.27          
38      200         130.59          95.04           -1.08           453.07          
39      200         138.26          95.11           3.15            526.72          
40      200         137.24          97.35           3.21            561.22          
41      200         136.13          97.00           0.97            542.06          
42      200         139.39          110.27          3.00            547.57          
43      200         140.89          92.70           4.35            492.45          
44      200         147.64          120.31          5.25            1005.34         
45      200         140.10          114.61          0.17            1005.98         
46      200         146.57          122.55          6.39            1027.38         
47      200         148.46          113.77          6.49            629.86          
48      200         146.02          106.15          -0.21           817.56          
49      200         160.78          132.24          1.97            921.81          
50      200         163.06          106.78          3.22            421.40          
51      200         159.17          111.88          6.93            596.37          
52      200         150.37          137.92          6.51            1022.59         
53      200         158.07          106.74          -0.97           527.77          
54      200         163.45          135.95          5.96            977.24          
55      200         162.90          110.32          3.76            523.47          
56      200         167.04          121.84          6.53            1007.48         
57      200         168.36          140.85          2.09            1006.05         
58      200         159.12          115.54          6.00            834.85          
59      200         181.02          154.78          6.74            977.89          
60      200         179.57          130.26          8.89            728.16          
61      200         198.96          153.87          7.07            1035.37         
62      200         190.90          142.39          4.08            1035.49         
63      200         206.01          199.63          4.06            1022.24         
64      200         210.24          183.90          14.22           1053.51         
65      200         201.65          176.10          5.29            1020.39         
66      200         211.29          178.41          9.36            1057.72         
67      200         188.54          165.73          2.52            997.24          
68      200         212.06          212.19          6.67            1036.17         
69      200         200.86          172.71          7.33            1020.05         
70      200         222.46          196.67          4.76            1016.89         
71      200         236.72          241.36          5.05            1078.47         
72      200         224.61          200.10          6.23            1009.45         
73      200         244.60          230.12          4.76            1026.60         
74      200         269.50          269.65          4.03            1051.85         
75      200         259.64          256.47          1.85            1030.53         
76      200         248.63          234.62          4.96            1042.37         
77      200         269.45          278.13          -0.14           1029.47         
78      200         314.67          299.59          7.33            1048.73         
79      200         293.64          298.80          4.48            1132.63         
80      200         290.23          278.30          5.32            1059.22         
81      200         372.53          345.80          8.34            1100.20         
82      200         323.68          315.43          1.03            1067.12         
83      200         426.21          374.87          7.12            1049.97         
84      200         416.28          387.57          0.19            1076.21         
85      200         451.67          388.80          6.50            1045.69         
86      200         415.21          389.88          -0.28           1063.68         
87      200         407.44          371.79          4.62            1044.24         
88      200         388.27          367.65          2.40            1048.43         
89      200         452.07          391.03          -1.79           1084.52         
90      200         475.15          396.53          2.61            1078.78         
91      200         484.34          389.89          12.03           1112.09         
92      200         451.59          390.78          11.46           1063.37         
93      200         447.33          401.56          -0.00           1072.37         
94      200         425.09          389.79          0.15            1048.49         
95      200         526.47          405.32          4.77            1040.11         
96      200         482.97          397.91          3.44            1065.42         
97      200         512.65          398.78          7.16            1055.64         
98      200         578.64          397.93          15.09           1042.42         
99      200         513.55          416.72          6.98            1074.94         
100     200         567.29          400.77          13.92           1057.74         
101     200         537.13          402.10          10.38           1072.49         
102     200         515.46          411.33          -1.09           1074.86         
103     200         541.62          405.82          1.45            1091.88         
104     200         605.55          396.88          9.62            1056.28         
105     200         582.60          404.49          10.55           1207.63         
106     200         647.35          390.75          13.48           1056.71         
107     200         621.42          397.14          10.44           1072.66         
108     200         615.55          399.66          8.99            1071.51         
109     200         553.48          397.86          27.82           1049.63         
110     200         603.66          391.79          19.08           1117.63         
111     200         638.71          396.83          22.85           1072.78         
112     200         664.50          381.13          8.02            1113.76         
113     200         604.46          395.26          11.73           1056.47         
114     200         628.33          391.68          22.07           1119.58         
115     200         654.55          389.94          16.65           1048.58         
116     200         653.75          396.34          11.58           1053.96         
117     200         621.32          395.63          12.11           1067.48         
118     200         629.40          394.72          15.14           1085.90         
119     200         614.18          394.90          11.38           1057.49         
120     200         622.92          388.81          0.90            1070.72         
121     200         605.30          394.02          10.42           1103.62         
122     200         605.05          403.09          4.07            1070.62         
123     200         566.71          405.13          4.58            1070.06         
124     200         607.96          401.49          11.88           1116.44         
125     200         637.16          401.16          9.89            1065.33         
126     200         625.85          397.07          26.43           1073.71         
127     200         651.28          396.32          14.81           1095.99         
128     200         592.17          400.23          10.65           1083.70         
129     200         619.28          402.95          5.49            1052.00         
130     200         636.72          402.18          21.50           1133.74         
131     200         594.61          406.23          13.95           1102.22         
132     200         582.64          393.89          3.37            1045.48         
133     200         628.86          402.84          26.46           1055.00         
134     200         689.21          387.50          25.90           1101.56         
135     200         692.22          386.57          14.51           1089.85         
136     200         647.34          403.51          0.65            1051.79         
137     200         691.23          394.60          31.01           1063.33         
138     200         655.05          400.63          0.72            1093.27         
139     200         655.97          396.52          19.71           1089.66         
140     200         680.05          396.77          23.00           1061.67         
141     200         597.18          394.02          3.35            1068.53         
142     200         661.26          399.13          23.37           1066.24         
143     200         666.61          390.98          26.18           1058.70         
144     200         634.86          406.10          29.02           1155.31         
145     200         617.36          403.47          36.34           1168.67         
146     200         695.58          392.12          33.17           1111.20         
147     200         680.17          388.70          8.15            1070.28         
148     200         615.98          407.48          20.29           1105.31         
149     200         648.08          404.92          28.99           1124.10         
150     200         622.65          406.67          21.07           1081.99         
151     200         668.91          398.18          18.73           1100.55         
152     200         756.91          374.69          24.26           1058.05         
153     200         770.83          368.38          34.07           1081.03         
154     200         697.42          395.12          24.90           1074.16         
155     200         635.75          405.76          19.63           1138.48         
156     200         627.51          398.39          21.55           1088.06         
157     200         673.45          384.89          22.02           1070.34         
158     200         729.93          376.33          35.17           1088.03         
159     200         681.51          385.41          24.32           1114.23         
160     200         714.40          384.26          47.18           1077.67         
161     200         697.29          381.68          21.18           1080.31         
162     200         708.37          384.68          35.05           1102.81         
163     200         689.87          389.50          21.41           1090.66         
164     200         640.92          405.70          25.14           1170.14         
165     200         675.04          403.58          23.74           1075.91         
166     200         677.32          388.75          22.09           1095.50         
167     200         651.96          399.57          22.79           1104.80         
168     200         653.66          392.28          26.07           1090.63         
169     200         623.96          409.32          19.80           1081.24         
170     200         697.37          391.20          28.55           1158.54         
171     200         682.86          393.08          19.27           1097.20         
172     200         673.66          404.55          23.07           1121.82         
173     200         705.44          385.06          24.37           1100.07         
174     200         614.78          399.08          50.59           1124.98         
175     200         693.31          404.48          16.03           1081.53         
176     200         729.19          385.80          54.15           1090.81         
177     200         710.29          389.68          5.32            1264.90         
178     200         720.98          374.89          27.00           1145.63         
179     200         668.85          398.81          18.29           1104.11         
180     200         670.27          396.04          39.23           1134.17         
181     200         677.47          399.57          17.16           1143.50         
182     200         638.66          400.16          29.10           1144.85         
183     200         677.39          408.09          22.57           1149.60         
184     200         642.07          409.00          19.24           1116.01         
185     200         583.30          416.67          24.20           1353.28         
186     200         585.47          409.64          22.97           1153.84         
187     200         677.39          415.36          22.78           1185.60         
188     200         695.97          392.12          43.72           1147.55         
189     200         690.86          398.37          22.66           1108.96         
190     200         699.68          390.32          26.19           1144.67         
191     200         658.30          397.45          25.05           1112.15         
192     200         742.53          388.87          26.81           1122.72         
193     200         665.87          400.31          22.75           1166.00         
194     200         677.56          403.46          21.15           1131.35         
195     200         646.24          411.66          18.11           1150.80         
196     200         697.32          402.67          24.91           1184.98         
197     200         681.24          406.96          4.22            1162.35         
198     200         716.18          390.74          21.78           1144.23         
199     200         646.82          408.84          18.86           1162.15         
200     200         702.86          403.49          21.62           1210.58         
201     200         693.81          393.77          16.21           1242.80         
202     200         563.00          407.55          24.57           1171.48         
203     200         693.38          388.96          34.62           1160.02         
204     200         714.38          394.07          24.33           1156.03         
205     200         690.85          401.40          36.44           1180.32         
206     200         636.84          406.04          25.42           1182.59         
207     200         688.66          397.19          35.77           1150.85         
208     200         723.13          378.43          26.64           1282.33         
209     200         686.02          405.88          28.50           1145.26         
210     200         637.38          408.38          41.67           1127.51         
211     200         694.89          406.64          29.14           1181.06         
212     200         659.21          413.19          33.25           1168.63         
213     200         649.37          405.16          38.89           1164.49         
214     200         693.92          401.05          29.26           1164.56         
215     200         700.08          400.80          39.32           1154.91         
216     200         626.54          408.42          18.42           1202.81         
217     200         668.27          406.87          29.52           1215.28         
218     200         701.60          406.28          29.55           1215.61         
219     200         711.80          398.80          30.77           1154.33         
220     200         653.06          405.66          32.94           1181.31         
221     200         722.25          392.38          36.41           1373.10         
222     200         731.53          398.00          40.76           1197.25         
223     200         659.34          414.83          25.53           1230.16         
224     200         679.03          416.60          16.52           1265.32         
225     200         700.53          418.53          24.76           1397.15         
226     200         688.43          412.95          27.17           1267.96         
227     200         707.63          412.80          21.35           1359.04         
228     200         721.91          418.38          25.23           1274.60         
229     200         704.48          417.74          28.07           1368.00         
230     200         691.08          427.56          11.14           1323.32         
231     200         679.93          413.44          34.52           1416.89         
232     200         639.02          424.27          23.06           1520.59         
233     200         664.64          438.13          26.06           1430.66         
234     200         634.22          438.21          27.76           1527.53         
235     200         680.25          438.81          27.78           1417.50         
236     200         642.96          428.20          10.01           1378.68         
237     200         660.33          438.45          16.25           1417.26         
238     200         687.64          421.23          28.60           1475.98         
239     200         689.99          424.15          32.22           1367.30         
240     200         633.90          426.34          16.23           1303.81         
241     200         686.28          433.32          36.89           1626.96         
242     200         671.77          434.70          35.56           1453.22         
243     200         635.94          434.44          24.53           1422.75         
244     200         694.96          418.89          15.11           1459.37         
245     200         669.26          440.91          25.07           1449.49         
246     200         662.81          437.76          32.62           1418.19         
247     200         698.08          439.87          33.36           1442.98         
248     200         580.56          436.84          34.24           1396.01         
249     200         722.18          434.09          24.84           1572.80         
250     200         700.64          441.78          26.94           1332.56         
251     200         682.34          457.51          13.36           1512.65         
252     200         602.39          433.97          21.39           1298.87         
253     200         757.21          436.96          30.08           1494.77         
254     200         681.35          424.71          24.25           1618.60         
255     200         719.03          425.06          34.79           1420.60         
256     200         688.75          442.56          28.29           1357.75         
257     200         731.53          437.25          29.69           1533.40         
258     200         727.00          449.59          26.99           1479.39         
259     200         636.56          459.44          37.87           1595.62         
260     200         684.85          462.44          38.36           1416.03         
261     200         618.13          453.05          32.36           1426.73         
262     200         624.76          456.19          33.03           1526.76         
263     200         664.42          482.76          34.58           1600.19         
264     200         693.97          460.78          39.97           1597.79         
265     200         604.98          465.54          45.49           1516.36         
266     200         589.26          459.21          44.09           1690.89         
267     200         731.62          438.76          44.53           1531.33         
268     200         662.74          458.78          45.53           1478.29         
269     200         713.70          463.15          45.95           1534.81         
270     200         678.26          459.16          23.86           1455.48         
271     200         674.96          466.25          26.66           1434.88         
272     200         651.09          476.45          14.81           1456.19         
273     200         588.26          480.24          25.70           1658.70         
274     200         648.82          493.87          25.54           1555.69         
275     200         575.11          478.56          40.64           1646.14         
276     200         568.34          464.91          17.33           1579.29         
277     200         730.78          474.23          23.96           1431.53         
278     200         621.80          478.51          28.65           1553.68         
279     200         653.46          476.99          30.54           1582.13         
280     200         709.53          467.26          25.80           1418.72         
281     200         613.50          492.04          32.28           1697.37         
282     200         744.28          481.44          45.84           1544.67         
283     200         623.05          483.08          19.53           1549.05         
284     200         610.52          480.89          42.75           1625.31         
285     200         552.33          466.30          25.75           1470.36         
