Gym environment: Hopper-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: True
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 200
Number of Generations: 2500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 355
Inputs: 11
Outputs: 3

Number of neurons in hidden layer 1: 16
Number of neurons in hidden layer 2: 8

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -58.86          122.74          -746.77         148.86          
1       200         -39.87          83.98           -639.15         75.37           
2       200         -10.89          90.67           -375.84         943.90          
3       200         -24.16          76.27           -589.78         130.11          
4       200         -14.79          76.87           -656.51         169.74          
5       200         -13.68          92.92           -694.10         582.87          
6       200         -0.24           50.92           -194.00         254.69          
7       200         -4.65           58.47           -295.20         183.97          
8       200         -9.44           85.75           -716.92         193.43          
9       200         9.07            67.58           -247.70         664.18          
10      200         12.07           86.52           -345.60         982.02          
11      200         7.14            107.85          -503.52         1004.91         
12      200         22.54           119.50          -293.89         1001.38         
13      200         9.29            76.03           -544.61         326.07          
14      200         16.57           70.14           -591.80         393.17          
15      200         22.41           67.46           -430.45         405.12          
16      200         27.66           122.79          -421.06         1012.11         
17      200         21.25           91.14           -450.54         696.33          
18      200         40.12           198.75          -870.90         997.06          
19      200         16.03           151.87          -1484.60        763.48          
20      200         27.34           115.02          -433.42         997.67          
21      200         34.39           87.88           -359.02         474.69          
22      200         19.56           92.89           -635.09         389.47          
23      200         21.09           113.59          -523.12         971.29          
24      200         37.12           132.80          -713.20         983.74          
25      200         15.24           199.43          -2195.75        956.07          
26      200         46.52           185.89          -1047.63        1006.44         
27      200         60.82           173.33          -694.01         984.63          
28      200         75.10           192.49          -299.40         995.31          
29      200         31.79           190.64          -953.73         1017.52         
30      200         59.51           155.27          -454.89         936.37          
31      200         47.38           152.41          -531.44         1002.68         
32      200         58.90           205.84          -1489.98        978.03          
33      200         49.97           254.71          -1572.48        1002.55         
34      200         38.43           173.19          -717.27         918.80          
35      200         65.84           186.14          -435.17         997.92          
36      200         35.85           206.24          -1639.64        1005.13         
37      200         52.16           257.68          -2097.74        973.08          
38      200         31.65           353.46          -2802.18        1003.30         
39      200         85.09           212.80          -763.51         1014.56         
40      200         108.42          286.21          -1285.45        992.57          
41      200         99.08           244.16          -1065.95        991.93          
42      200         86.95           259.32          -1191.46        996.19          
43      200         76.76           238.98          -776.54         975.17          
44      200         47.45           193.47          -792.55         1007.84         
45      200         90.60           224.81          -583.06         1009.59         
46      200         67.49           273.23          -1339.21        947.68          
47      200         95.13           299.61          -1688.76        998.72          
48      200         73.39           343.72          -2619.84        986.98          
49      200         80.58           299.00          -1086.71        1008.03         
50      200         100.23          282.41          -1490.08        997.25          
51      200         77.38           329.79          -2005.76        998.12          
52      200         53.58           432.40          -4312.26        996.62          
53      200         58.78           387.54          -2157.55        1007.10         
54      200         98.34           345.90          -2588.75        991.49          
55      200         24.16           389.79          -3250.47        975.91          
