environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True

Genome Size: 700
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         8.91            14.81           -1.80           92.96           
1       200         10.72           17.44           -1.61           151.38          
2       200         8.39            12.47           -1.75           85.30           
3       200         12.49           49.29           -2.28           682.09          
4       200         9.67            15.24           -2.29           96.24           
5       200         12.54           18.19           -1.86           90.23           
6       200         13.48           18.68           -1.59           116.18          
7       200         17.25           17.70           -2.10           83.26           
8       200         25.79           28.06           -1.82           239.95          
9       200         25.07           21.07           -1.67           159.50          
10      200         27.25           24.77           -1.75           196.17          
11      200         28.37           21.45           -1.43           120.50          
12      200         32.51           22.73           -1.53           123.38          
13      200         31.53           19.69           -1.38           118.08          
14      200         36.67           21.49           -1.59           146.70          
15      200         34.13           26.32           -1.80           148.22          
16      200         36.92           27.19           -1.81           192.42          
17      200         36.68           32.13           -1.79           224.85          
18      200         41.85           32.46           -1.67           213.13          
19      200         49.11           39.39           -1.51           262.86          
20      200         43.45           32.48           -1.18           179.30          
21      200         54.83           53.12           -1.78           486.30          
22      200         48.15           40.86           -1.34           239.40          
23      200         53.50           51.19           3.08            368.58          
24      200         57.48           47.96           -1.34           325.42          
25      200         53.63           50.95           1.06            422.20          
26      200         58.83           48.00           -0.35           417.76          
27      200         59.45           50.88           0.54            305.22          
28      200         60.33           53.84           0.40            325.33          
29      200         60.16           47.78           3.81            323.87          
30      200         62.99           57.23           1.26            563.73          
31      200         72.44           59.97           4.61            409.54          
32      200         71.90           53.31           3.76            274.38          
33      200         77.61           65.45           3.65            480.09          
34      200         70.22           54.68           4.77            297.93          
35      200         82.13           100.34          3.02            994.17          
36      200         74.71           94.35           4.46            1008.46         
37      200         95.01           104.99          5.79            1008.47         
38      200         90.26           77.79           4.78            522.91          
39      200         105.32          144.16          0.43            1024.81         
40      200         95.28           114.32          5.36            1017.64         
41      200         116.19          131.56          3.06            1024.45         
42      200         105.55          108.83          5.05            1006.09         
43      200         102.25          117.18          5.64            1003.44         
44      200         113.19          124.41          5.58            985.81          
45      200         123.68          140.26          6.95            1024.44         
46      200         129.60          165.87          1.82            1019.85         
47      200         106.97          101.24          0.43            1006.44         
48      200         117.45          109.09          4.92            1022.28         
49      200         134.53          140.54          6.74            984.00          
50      200         120.24          132.64          5.42            1024.90         
51      200         138.43          183.85          3.11            1007.22         
52      200         168.18          206.42          5.21            1018.80         
53      200         159.44          195.45          5.91            1076.01         
54      200         156.58          184.43          4.89            1031.12         
55      200         123.75          138.83          8.18            1018.36         
56      200         148.58          159.64          6.23            1006.42         
57      200         163.49          186.83          8.12            1041.34         
58      200         168.73          183.47          9.86            1011.18         
59      200         138.18          153.68          3.24            1014.50         
60      200         178.70          219.90          9.13            1039.27         
61      200         155.20          175.63          6.80            1032.82         
62      200         165.88          176.57          6.72            1019.45         
63      200         185.43          194.32          8.83            1049.32         
64      200         193.72          246.24          4.54            1015.76         
65      200         188.87          228.47          7.36            1023.16         
66      200         198.28          211.03          8.45            1023.35         
67      200         192.73          219.03          8.00            1025.05         
68      200         176.36          188.54          7.10            1024.62         
69      200         182.66          186.68          8.44            1006.27         
70      200         197.07          215.89          14.52           1018.04         
71      200         205.24          229.68          10.76           1031.39         
72      200         241.32          256.86          11.05           1031.48         
73      200         211.51          242.94          9.16            1040.37         
74      200         175.52          202.84          5.46            1014.83         
75      200         225.80          253.92          8.45            1042.47         
76      200         236.44          259.47          12.47           1029.26         
77      200         218.42          250.75          8.33            1026.19         
78      200         222.73          232.85          8.28            1030.83         
79      200         209.68          214.00          7.06            1024.82         
80      200         294.76          284.94          6.28            1034.11         
81      200         250.75          270.06          7.38            1026.79         
82      200         225.64          236.67          9.84            1027.17         
83      200         269.39          280.34          7.36            1025.06         
84      200         224.65          243.30          10.63           1025.82         
85      200         227.25          250.22          9.42            1037.29         
86      200         252.83          282.50          13.48           1023.59         
87      200         303.27          305.26          5.61            1025.42         
88      200         277.01          283.51          10.47           1023.94         
89      200         289.19          312.77          7.16            1026.32         
90      200         270.72          281.52          7.13            1032.56         
91      200         279.46          275.98          11.67           1023.60         
92      200         311.17          320.81          11.24           1025.00         
93      200         273.91          287.25          6.82            1024.23         
94      200         263.38          286.49          8.10            1029.11         
95      200         271.13          287.40          10.20           1027.89         
96      200         300.10          297.99          5.81            1020.14         
97      200         279.42          279.98          5.81            1023.44         
98      200         291.79          298.25          5.78            1026.13         
99      200         263.83          269.47          11.27           1024.52         
100     200         283.89          296.33          7.56            1035.20         
101     200         278.01          280.41          5.81            1026.64         
102     200         266.85          276.51          8.16            1029.42         
103     200         309.11          321.58          5.30            1029.18         
104     200         295.35          302.51          5.70            1023.42         
105     200         321.12          321.91          5.62            1025.26         
106     200         330.94          320.90          5.76            1022.16         
107     200         341.31          329.14          10.58           1031.84         
108     200         331.07          320.68          5.65            1031.18         
109     200         286.31          294.07          5.29            1028.41         
110     200         334.62          330.30          9.50            1023.71         
111     200         327.40          319.00          5.82            1025.78         
112     200         340.05          325.50          9.62            1028.19         
113     200         370.75          343.13          7.06            1025.79         
114     200         334.45          323.69          5.62            1037.28         
115     200         350.54          335.29          6.98            1026.58         
116     200         362.96          335.17          5.77            1033.35         
117     200         338.09          331.20          5.79            1029.04         
118     200         342.38          316.39          8.22            1024.06         
119     200         411.86          357.06          13.15           1026.95         
120     200         357.71          335.22          7.82            1024.79         
121     200         412.47          372.08          8.15            1034.72         
122     200         397.83          361.33          20.29           1022.71         
123     200         354.48          353.69          5.21            1028.44         
124     200         393.68          363.58          24.11           1026.46         
125     200         393.27          343.62          9.65            1020.87         
126     200         373.06          350.24          14.00           1030.04         
127     200         394.31          345.30          36.32           1033.43         
128     200         428.16          367.69          6.65            1027.39         
129     200         406.93          367.41          10.99           1026.16         
130     200         427.96          372.66          6.37            1047.89         
131     200         385.38          363.45          10.85           1025.87         
132     200         416.71          375.88          7.02            1043.00         
133     200         423.97          370.21          14.22           1026.73         
134     200         394.06          353.69          12.66           1027.46         
135     200         372.21          341.48          7.17            1037.29         
136     200         413.45          364.16          36.20           1033.24         
137     200         362.01          344.35          6.67            1042.62         
138     200         416.97          378.75          6.82            1034.24         
139     200         348.98          354.70          5.69            1028.88         
140     200         441.87          382.72          7.78            1035.80         
141     200         391.92          368.36          6.91            1030.97         
142     200         440.42          370.32          22.55           1035.48         
143     200         481.80          376.08          40.82           1049.68         
144     200         452.33          381.91          6.56            1039.16         
145     200         410.91          365.25          7.08            1035.41         
146     200         399.34          372.35          5.68            1033.56         
147     200         456.90          388.60          5.73            1026.80         
148     200         447.41          395.29          5.75            1026.71         
149     200         485.92          397.68          6.93            1027.53         
150     200         462.14          381.73          23.70           1040.64         
151     200         484.07          401.89          5.70            1062.28         
152     200         468.56          385.97          9.91            1044.51         
153     200         439.89          386.38          9.67            1073.57         
154     200         442.58          384.94          10.66           1069.63         
155     200         496.97          386.83          34.28           1046.92         
156     200         471.30          391.09          5.05            1060.88         
157     200         435.18          379.26          12.12           1047.55         
158     200         447.91          377.25          7.01            1064.97         
159     200         442.55          383.96          35.13           1036.08         
160     200         447.88          381.07          29.78           1037.64         
161     200         477.93          401.39          17.94           1061.61         
162     200         488.85          392.69          5.60            1062.21         
163     200         476.18          378.06          41.69           1046.89         
164     200         515.78          400.61          10.90           1036.96         
165     200         493.57          382.26          38.85           1030.32         
166     200         476.94          394.60          16.64           1050.16         
167     200         541.93          412.96          29.21           1078.85         
168     200         567.44          403.70          9.70            1075.93         
169     200         496.44          400.96          35.90           1079.36         
170     200         523.00          395.01          40.85           1061.06         
171     200         446.83          373.61          11.01           1040.38         
172     200         481.06          393.54          26.77           1047.83         
173     200         527.57          404.47          30.39           1104.48         
174     200         536.31          397.63          26.06           1073.44         
175     200         521.23          404.51          32.00           1064.28         
176     200         567.22          399.38          32.47           1069.71         
177     200         480.52          393.84          18.14           1078.46         
178     200         427.79          375.41          46.68           1086.64         
179     200         522.58          393.01          27.52           1068.97         
180     200         521.78          394.67          25.10           1072.47         
181     200         479.11          399.79          34.41           1078.73         
182     200         458.12          370.75          28.48           1059.53         
183     200         504.69          401.33          33.19           1080.07         
184     200         562.63          404.48          28.85           1088.82         
185     200         532.14          399.71          24.62           1087.57         
186     200         509.74          390.52          44.25           1064.21         
187     200         489.20          401.80          33.30           1121.76         
188     200         500.65          405.88          29.67           1106.84         
189     200         485.61          394.07          15.66           1103.63         
190     200         497.13          399.27          28.30           1100.39         
191     200         528.03          405.08          9.22            1098.24         
192     200         483.20          387.53          18.00           1114.39         
193     200         577.94          406.11          29.56           1120.22         
194     200         542.38          413.38          11.15           1121.36         
195     200         557.87          406.24          28.26           1107.76         
196     200         499.88          402.09          38.96           1160.30         
197     200         545.47          403.91          22.64           1102.16         
198     200         590.28          412.82          16.92           1118.39         
199     200         505.57          408.10          18.77           1106.73         
200     200         520.23          392.17          30.14           1118.40         
201     200         551.72          409.74          10.03           1109.13         
202     200         539.21          408.33          20.31           1120.51         
203     200         572.88          407.39          11.25           1183.10         
204     200         597.69          408.05          31.50           1149.32         
205     200         552.86          404.94          27.78           1241.55         
206     200         570.89          412.92          13.51           1191.97         
207     200         561.40          411.50          8.11            1162.02         
208     200         521.65          406.19          17.49           1149.84         
209     200         551.74          426.83          8.96            1176.67         
210     200         591.07          401.84          18.98           1192.02         
211     200         605.04          413.79          26.42           1178.98         
212     200         517.23          412.70          17.76           1168.09         
213     200         576.10          406.23          32.88           1179.99         
214     200         570.52          412.80          25.76           1226.20         
215     200         573.72          416.58          27.61           1183.47         
216     200         629.32          408.34          34.32           1258.61         
217     200         587.94          417.12          40.89           1170.88         
218     200         580.55          415.06          15.17           1174.56         
219     200         572.59          405.87          16.85           1181.56         
220     200         541.90          410.04          12.79           1196.86         
221     200         568.21          420.98          27.31           1172.78         
222     200         492.28          395.33          40.66           1177.04         
223     200         554.73          415.35          9.95            1189.19         
224     200         535.20          410.31          14.25           1192.44         
225     200         573.32          414.84          17.42           1235.46         
226     200         544.40          417.69          30.42           1192.60         
227     200         594.22          423.72          18.22           1210.05         
228     200         579.32          411.05          20.52           1198.52         
229     200         541.37          411.74          22.44           1158.11         
230     200         548.86          407.39          28.85           1179.49         
231     200         556.08          417.30          14.59           1154.90         
232     200         596.08          419.89          37.74           1205.98         
233     200         568.07          406.10          21.87           1186.10         
234     200         563.52          420.86          20.52           1220.11         
235     200         511.06          410.93          17.10           1193.79         
