environment: Hopper-v2
neural_network_type: LNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
use_biases: True
number_neurons_layer1: 64
number_neurons_layer2: 32
indirect_encoding: False

Genome Size: 2947
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         14.41           26.13           -1.37           203.43          
1       200         15.13           27.60           -1.82           294.29          
2       200         17.41           32.66           -2.30           255.98          
3       200         14.96           24.17           -1.18           166.52          
4       200         19.88           32.79           -1.38           229.98          
5       200         23.47           33.98           -1.37           235.31          
6       200         25.13           34.04           -1.80           182.48          
7       200         23.41           33.84           -1.28           207.46          
8       200         28.49           37.62           -1.82           230.84          
9       200         23.43           27.20           -1.30           192.49          
10      200         39.51           88.73           -1.53           1000.52         
11      200         35.97           76.10           -1.09           976.21          
12      200         35.72           74.55           -1.73           977.26          
13      200         32.89           36.81           -1.78           220.77          
14      200         37.55           78.69           -1.67           1017.13         
15      200         33.40           37.79           -1.42           273.65          
16      200         36.87           39.52           -1.73           262.27          
17      200         38.18           49.54           -1.58           424.08          
18      200         37.19           43.26           -1.76           309.15          
19      200         44.96           53.83           -1.72           405.99          
20      200         48.58           87.69           -0.43           1005.93         
21      200         49.83           83.03           -1.24           991.52          
22      200         45.75           54.12           -0.89           448.94          
23      200         57.72           84.09           -1.31           1060.71         
24      200         65.33           105.00          -1.64           989.79          
25      200         69.33           85.33           -2.13           972.50          
26      200         61.05           87.21           -1.19           1008.04         
27      200         71.76           96.82           -0.34           985.54          
28      200         70.20           72.88           -0.82           395.50          
29      200         68.63           80.38           -0.65           693.66          
30      200         69.08           71.66           -0.37           522.28          
31      200         103.02          165.80          -0.06           1023.01         
32      200         85.15           135.03          0.49            1007.56         
33      200         88.03           103.46          0.67            1023.62         
34      200         92.36           89.26           -0.85           589.47          
35      200         98.23           134.47          -1.17           1027.99         
36      200         113.30          135.99          0.93            998.50          
37      200         119.76          170.49          -0.92           1012.48         
38      200         118.20          156.68          4.20            1006.02         
39      200         118.79          151.64          -0.54           1010.09         
40      200         125.50          128.60          2.96            803.32          
41      200         130.29          184.93          -0.62           1021.14         
42      200         141.86          170.73          6.57            1024.33         
43      200         164.63          204.57          -0.53           1076.47         
44      200         157.09          179.52          4.93            1019.06         
45      200         127.06          142.44          5.17            1001.64         
46      200         173.86          214.18          7.12            1039.01         
47      200         172.88          209.35          3.93            1022.96         
48      200         160.61          193.85          4.93            1022.66         
49      200         211.03          232.53          4.35            1059.99         
50      200         208.97          241.17          9.69            1026.64         
51      200         260.93          294.68          -0.05           1024.38         
52      200         201.47          230.64          -1.04           1052.76         
53      200         215.22          259.90          7.91            1021.14         
54      200         218.34          256.03          7.25            1057.46         
55      200         242.45          308.63          7.19            1023.62         
56      200         242.37          287.44          6.36            1036.95         
57      200         249.84          293.03          4.19            1027.70         
58      200         272.53          298.18          5.81            1033.44         
59      200         305.72          343.83          3.15            1037.18         
60      200         251.21          305.31          8.16            1062.25         
61      200         258.06          287.14          5.11            1055.66         
62      200         314.85          334.07          8.91            1024.46         
63      200         288.41          307.53          7.00            1086.62         
64      200         329.11          351.32          10.10           1071.63         
65      200         321.28          349.22          8.74            1062.94         
66      200         319.28          340.85          3.67            1035.58         
67      200         357.41          334.23          13.01           1029.49         
68      200         390.16          370.91          8.90            1087.54         
69      200         393.62          374.89          5.11            1056.94         
70      200         388.67          373.25          12.45           1028.48         
71      200         337.81          341.18          10.85           1036.23         
72      200         400.66          381.01          6.17            1031.06         
73      200         356.30          352.61          5.79            1043.86         
74      200         388.38          374.31          8.66            1051.09         
75      200         411.04          381.02          9.22            1026.51         
76      200         439.41          396.34          5.16            1103.31         
77      200         499.06          404.34          9.20            1055.98         
78      200         473.15          394.10          6.75            1032.19         
79      200         532.70          413.58          3.81            1035.69         
80      200         531.13          405.70          6.48            1031.92         
81      200         458.57          393.82          9.54            1039.10         
82      200         469.79          393.05          8.88            1027.15         
83      200         556.02          408.63          5.14            1041.44         
84      200         529.04          405.49          14.57           1032.19         
85      200         570.25          411.21          6.13            1035.87         
86      200         553.51          394.31          10.56           1113.57         
87      200         552.55          401.76          12.31           1036.97         
88      200         564.29          396.03          5.60            1038.18         
89      200         599.69          402.00          37.39           1055.29         
90      200         589.07          404.57          30.50           1035.75         
91      200         567.76          416.16          14.38           1037.97         
92      200         560.02          405.23          9.64            1074.38         
93      200         594.00          405.97          16.70           1042.28         
94      200         558.50          410.42          10.06           1052.02         
95      200         630.34          406.06          19.99           1047.00         
96      200         568.93          411.28          13.71           1045.94         
97      200         595.10          398.78          14.93           1051.38         
98      200         670.86          400.95          9.46            1051.86         
99      200         585.60          416.28          15.86           1034.08         
100     200         606.61          406.66          15.88           1047.17         
101     200         606.07          413.27          16.89           1050.85         
102     200         623.25          401.29          5.19            1064.00         
103     200         615.77          406.33          18.71           1050.52         
104     200         559.52          415.01          12.53           1051.02         
105     200         664.94          414.37          31.16           1046.45         
106     200         585.04          414.26          5.57            1048.68         
107     200         656.24          410.99          25.95           1072.16         
108     200         617.90          411.40          31.24           1045.75         
109     200         659.59          400.79          32.09           1042.05         
110     200         609.00          400.92          34.06           1084.44         
111     200         671.52          401.97          16.77           1058.08         
112     200         597.36          391.87          39.66           1069.46         
113     200         676.05          391.58          68.07           1059.04         
114     200         621.41          400.96          30.22           1043.87         
115     200         645.04          405.17          14.78           1059.12         
116     200         606.93          403.92          23.64           1122.37         
117     200         669.37          409.62          3.47            1177.66         
118     200         638.73          406.85          17.52           1059.00         
119     200         625.17          407.44          51.11           1065.37         
120     200         623.88          417.48          23.77           1097.65         
121     200         596.94          408.12          24.18           1062.16         
122     200         618.43          411.16          24.80           1082.15         
123     200         734.40          380.34          18.80           1064.02         
124     200         650.65          415.42          6.88            1074.71         
125     200         592.39          406.95          37.22           1057.50         
126     200         647.39          404.42          3.41            1045.56         
127     200         650.62          406.07          21.26           1082.93         
128     200         635.39          401.44          33.62           1059.46         
129     200         590.86          411.23          19.03           1059.22         
