gen     nevals  avg             std     min             max    
0       25      -653.948        152.642 -1057.61        -447.57
1       25      -589.665        169.879 -833.272        54.1092
2       25      -638.522        109.477 -923.124        -411.289
3       25      -603.88         79.0521 -735.849        -445.432
4       25      -602.114        116.956 -825.422        -283.307
5       25      -632.027        109.199 -1004.7         -385.517
6       25      -656.325        156.357 -1106.56        -390.035
7       25      -629.02         90.9784 -787.823        -366.296
8       25      -621.164        95.9778 -793.019        -396.751
9       25      -617.933        127.225 -841.348        -393.491
10      25      -577.185        100.672 -853.843        -397.286
11      25      -574.784        139.197 -826.382        -330.745
12      25      -565.816        98.1751 -744.479        -381.913
13      25      -534.058        100.327 -716.37         -355.978
14      25      -499.582        84.6905 -621.511        -289.421
15      25      -466.162        83.2645 -625.281        -283.103
16      25      -425.969        101.454 -629.254        -235.89 
17      25      -438.455        122.03  -714.797        -177.775
18      25      -438.266        122.745 -698.876        -217.142
19      25      -486.814        138.954 -881.63         -266.114
20      25      -438.201        87.0941 -643.35         -211.741
21      25      -419.795        131.289 -790.963        -147.229
22      25      -406.28         104.959 -635.19         -202.653
23      25      -398.458        149.993 -667.685        -60.7851
24      25      -374.335        112.608 -579.159        -164.607
25      25      -377.876        151.774 -744.627        -37.0416
26      25      -352.751        126.066 -650.602        -132.727
27      25      -365.137        116.973 -598.796        -108.017
28      25      -273.383        97.3351 -441.688        -19.7729
29      25      -331.349        142.669 -791.065        -55.1621
30      25      -264.818        150.614 -482.638        161.524 
31      25      -223.691        188.76  -915.784        92.0738 
32      25      -262.38         215.793 -572.644        329.274 
33      25      -222.823        168.298 -486.989        226.994 
34      25      -201.677        234.563 -525.838        657.622 
35      25      -151.839        228.761 -500.575        372.727 
36      25      -76.1976        250.835 -595.918        441.1   
37      25      -133.523        211.573 -558.712        272.634 
38      25      -147.25         194.601 -438.177        406.386 
39      25      -55.5764        252.09  -514.378        374.639 
40      25      35.49           326.537 -489.064        816.597 
41      25      -0.722957       245.695 -453.073        437.292 
42      25      82.4429         371.358 -393.895        963.357 
43      25      46.4214         314.687 -354.31         871.739 
44      25      127.726         321.523 -392.655        711.753 
45      25      234.563         368.047 -354.118        972.383 
46      25      277.164         360.241 -273.15         967.959 
47      25      192.644         352.492 -387.88         911.511 
48      25      410.477         300.067 -225.562        974.311 
49      25      256.644         365.016 -355.564        987.502 
50      25      449.423         373.059 -398.086        1062.26 
51      25      375.102         389.174 -431.464        996.076 
52      25      289.982         411.101 -343.51         1043.63 
53      25      353.17          465.016 -386.636        1266.55 
54      25      476.882         450.087 -392.378        1396.99 
55      25      463.802         445.573 -285.614        1454.76 
56      25      499.902         399.978 -377.423        1051.51 
57      25      438.633         519.652 -480.557        1213.65 
58      25      497.131         317.351 -232.262        1150.86 
59      25      414.359         403.995 -414.733        1360.97 
60      25      444.121         392     -345.335        1096.15 
61      25      219.631         421.325 -591.242        931.972 
62      25      299.759         441.818 -457.754        1000.95 
63      25      436.699         509.96  -539.389        1121.45 
64      25      366.114         385.602 -368.237        1070.41 
65      25      344.327         567.714 -546.697        1663.32 
66      25      472.681         512.784 -421.253        1321.89 
67      25      673.897         542.661 -458.886        1720.73 
68      25      659.589         647.992 -548.6          1501.94 
69      25      889.976         572.013 -462.07         1690.1  
70      25      797.132         616.188 -423.183        1609.06 
71      25      723.83          649.374 -623.682        1548.04 
72      25      785.036         637.428 -512.705        2164.44 
73      25      880.409         585.211 -281.731        1802.21 
74      25      731.76          589.443 -275.181        1798.21 
75      25      895.102         480.604 -321.433        1635.65 
76      25      793.263         511.322 -372.138        1709.42 
77      25      719.677         600.58  -364.632        1798.21 
78      25      725.804         547.083 -272.23         1626.74 
79      25      783.591         552.135 -363.98         1710    
80      25      841.556         536.992 -604.886        1629.25 
81      25      631.325         637.611 -402.448        1768.82 
82      25      834.333         674.969 -399.935        2019.43 
83      25      1090.64         689.782 -367.311        1878.6  
84      25      1168.23         439.911 49.2872         2023.21 
85      25      1387.52         460.791 431.119         2229.13 
86      25      1147.1          601.532 -92.912         1929.44 
87      25      1228.17         677.145 -250.543        2040.67 
88      25      1400            640.099 -105.678        2181.97 
89      25      1343.64         803.372 -315.467        2173.58 
90      25      1259.58         687.51  -224.722        2126.78 
91      25      1352.5          665.996 -542.396        2197.69 
92      25      1547.08         454.095 329.516         2199.1  
93      25      1355.87         478.802 54.3065         2029.76 
94      25      1605.39         567.546 -260.419        2366.64 
95      25      1580.08         657.749 -254.364        2227.49 
96      25      1452.02         707.788 -371.396        2422.91 
97      25      1403.86         643.722 -234.664        2130.77 
98      25      1517.12         726.384 -329.821        2346.63 
99      25      1568.63         577.566 -163.937        2172.02 
100     25      1529.96         653.421 -621.464        2186.26 
101     25      1384.41         636.472 -81.2926        2154.96 
102     25      1646.03         612.028 -163.523        2285.35 
103     25      1690.53         616.242 -237.805        2299.05 
104     25      1646.55         452.541 502.252         2396.01 
105     25      1776.18         339.44  873.408         2264.2  
106     25      1688.32         553.583 132.473         2238.38 
107     25      1427.95         627.667 6.7676          2038.91 
108     25      1634.58         628.173 -555.289        2350.65 
109     25      1746.41         582.707 -175.631        2281.02 
110     25      1913.18         417.835 -3.86329        2263.46 
111     25      1901.3          361.941 557.991         2415.26 
112     25      1690.94         580.11  -323.515        2351.41 
113     25      1557.11         436.749 625.919         2341.92 
114     25      1814.16         327.507 712.304         2244.88 
115     25      1557.49         704.019 -498.634        2318.76 
116     25      1642.33         651.972 -580.057        2213.3  
117     25      1699.13         608.234 -195.532        2238.44 
118     25      1565.52         569.268 60.1996         2254.06 
119     25      1638.42         618.295 -424.751        2275.63 
120     25      1404.46         705.809 -116.409        2394.5  
121     25      1674.87         546.542 -239.322        2369.69 
122     25      1627.04         598.982 -246.109        2316.19 
123     25      1439.94         615.538 197.617         2226.17 
124     25      1469.84         711.368 -294.802        2204.49 
125     25      1491.3          613.331 -556.641        2092.56 
126     25      1469.64         624.754 -389.957        2189.58 
127     25      1573.68         709.923 -23.1491        2379.62 
128     25      1854.23         319.019 1006.4          2279.46 
129     25      1742.35         514.111 -75.4949        2312.86 
130     25      1743.61         434.454 452.95          2287.71 
131     25      1611.91         642.61  12.4165         2398.96 
132     25      1665.52         532.253 13.8847         2161.05 
133     25      1557.34         748.671 -203.907        2252.91 
134     25      1631.15         676.631 42.1141         2313.34 
135     25      1884.68         439.209 660.956         2475.02 
136     25      1797.81         440.335 -7.98747        2199.21 
137     25      1834.14         431.943 317.68          2300.76 
138     25      1899.55         388.56  173.422         2375.56 
139     25      1813.62         428.665 325.112         2239.55 
140     25      1723.87         585.327 -352.378        2322.24 
141     25      1769.37         441.655 359.183         2340.98 
142     25      1658.24         650.206 -449.327        2313.36 
143     25      1404.32         655.341 -245.321        2199.05 
144     25      1681.66         439.973 548.915         2277.67 
145     25      1586.04         529.886 -284.023        2095.32 
146     25      1600.7          654.741 -95.6137        2252.52 
147     25      1763.72         423.554 703.41          2418.94 
148     25      1560.78         729.872 -432.309        2232.82 
149     25      1725.73         464.953 142.585         2276.8  
150     25      1548.17         787.456 -436.108        2246.72 
151     25      1882.93         229.151 1301.09         2233.67 
