Gym environment: Hopper-v2
Random seed for environment: 0
Number of neurons: 30
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: False
Population size: 1000
Number of Generations: 500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1350
Inputs: 11
Outputs: 3
--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1000        10.75           18.93           -2.14           226.73          
1       1000        10.97           35.44           -2.33           1023.70         
2       1000        10.99           17.70           -2.66           145.54          
3       1000        11.49           17.57           -2.27           164.00          
4       1000        10.27           15.53           -2.64           123.06          
5       1000        11.11           19.24           -2.28           249.15          
6       1000        10.80           17.49           -2.07           213.73          
7       1000        11.79           18.15           -2.04           227.89          
8       1000        13.59           17.55           -2.21           107.02          
9       1000        14.47           19.59           -2.70           123.25          
10      1000        14.58           19.32           -2.62           183.34          
11      1000        14.74           20.28           -1.60           171.56          
12      1000        17.09           22.03           -2.18           231.18          
13      1000        19.10           22.61           -2.18           166.14          
14      1000        20.66           22.53           -2.59           152.03          
15      1000        21.70           22.58           -2.49           165.63          
16      1000        24.82           24.25           -1.78           160.55          
17      1000        26.60           25.90           -2.17           234.08          
18      1000        26.07           24.42           -2.75           182.82          
19      1000        29.32           27.12           -2.06           216.14          
20      1000        29.47           26.86           -1.70           212.67          
21      1000        32.35           29.47           -1.69           246.07          
22      1000        31.39           29.16           -1.85           313.01          
23      1000        35.82           31.23           -1.83           241.93          
24      1000        37.51           32.84           -1.77           287.85          
25      1000        38.48           32.81           -1.57           221.94          
26      1000        42.84           34.65           -1.87           242.93          
27      1000        45.53           36.92           -1.82           279.57          
28      1000        45.14           39.55           -1.38           306.47          
29      1000        51.21           43.86           -1.68           367.64          
30      1000        50.70           42.07           -1.80           283.64          
31      1000        50.37           41.64           -1.93           328.19          
32      1000        55.76           46.74           -1.75           286.98          
33      1000        56.15           47.36           -1.45           261.98          
34      1000        56.85           47.41           -1.32           328.14          
35      1000        60.92           49.99           -1.58           440.84          
36      1000        62.17           51.38           -1.72           331.67          
37      1000        58.29           49.83           -1.47           420.55          
38      1000        63.60           53.66           -1.73           403.69          
39      1000        64.94           53.92           -1.67           336.76          
40      1000        71.07           63.22           -1.80           368.70          
41      1000        71.47           59.30           -1.54           466.09          
42      1000        74.04           61.41           -1.86           426.06          
43      1000        80.20           64.89           -1.64           532.14          
44      1000        80.07           73.42           -1.83           984.06          
45      1000        81.03           68.89           -1.44           353.68          
46      1000        83.34           63.66           -1.83           319.49          
47      1000        88.91           74.07           -1.28           569.40          
48      1000        89.10           73.12           -1.70           474.43          
49      1000        92.65           77.24           -1.83           449.94          
50      1000        95.86           87.25           -1.60           1021.65         
51      1000        93.20           79.21           -1.28           531.20          
52      1000        93.69           90.99           -1.11           971.20          
53      1000        93.26           80.93           -1.29           989.95          
54      1000        92.93           79.77           -1.38           909.66          
55      1000        95.37           75.57           -1.57           453.50          
56      1000        102.74          85.18           -0.81           643.07          
57      1000        103.56          88.26           -1.36           852.69          
58      1000        105.07          85.83           -1.82           660.22          
59      1000        104.71          84.04           -1.72           454.34          
60      1000        118.75          93.03           0.27            878.63          
61      1000        114.09          93.67           -1.84           1023.86         
62      1000        119.45          91.08           -1.45           740.07          
63      1000        118.58          89.64           -1.79           647.21          
64      1000        119.02          93.75           0.05            1092.00         
65      1000        123.53          95.47           1.82            611.32          
66      1000        126.88          96.98           -0.45           981.12          
67      1000        128.82          93.42           -1.49           585.69          
68      1000        134.42          96.66           -0.54           783.17          
69      1000        135.65          98.07           -1.98           989.65          
70      1000        138.69          99.82           -1.21           1008.24         
71      1000        138.35          110.94          -1.70           1034.43         
72      1000        142.88          104.36          -0.90           817.55          
73      1000        141.12          100.92          -1.35           1001.55         
74      1000        150.09          116.79          -1.75           1013.80         
75      1000        156.27          111.73          0.51            844.74          
76      1000        156.53          115.86          -1.24           1002.70         
77      1000        165.05          124.81          -0.93           980.74          
78      1000        169.30          130.87          1.08            1037.71         
79      1000        163.55          130.50          -0.62           1039.97         
80      1000        173.14          129.31          3.76            1026.16         
81      1000        177.48          139.16          -1.56           1048.97         
82      1000        188.10          153.41          1.54            1068.80         
83      1000        183.79          144.54          3.75            1087.87         
84      1000        186.97          152.75          0.97            1114.15         
85      1000        199.95          169.48          -0.44           1035.84         
86      1000        197.78          154.42          3.06            1032.09         
87      1000        203.15          174.52          4.65            1058.50         
88      1000        199.83          159.65          -0.99           1054.41         
89      1000        220.43          187.78          1.71            1081.13         
90      1000        222.07          187.47          4.95            1163.77         
91      1000        230.47          186.40          3.95            1089.46         
92      1000        219.30          196.42          0.29            1197.22         
93      1000        213.19          183.77          3.25            1058.05         
94      1000        232.11          198.35          3.18            1061.14         
95      1000        215.80          190.08          0.36            1068.83         
96      1000        237.07          211.60          6.59            1073.34         
97      1000        232.20          197.93          6.64            1121.27         
98      1000        235.04          193.02          5.72            1108.13         
99      1000        239.22          210.67          6.71            1100.55         
100     1000        242.74          213.88          3.15            1097.15         
101     1000        248.89          216.88          1.76            1112.21         
102     1000        256.94          216.98          0.94            1151.09         
103     1000        264.28          233.53          2.65            1200.48         
104     1000        240.70          205.25          -0.88           1136.41         
105     1000        254.16          224.36          2.57            1096.83         
106     1000        270.62          233.78          7.30            1132.33         
107     1000        261.49          229.14          6.75            1179.23         
108     1000        263.92          235.07          5.90            1092.47         
109     1000        291.04          244.81          8.37            1112.90         
110     1000        286.42          254.13          4.38            1143.08         
111     1000        294.27          257.67          3.58            1149.07         
112     1000        296.17          263.99          1.25            1103.17         
113     1000        300.91          263.87          8.88            1326.67         
114     1000        296.93          263.54          6.63            1142.50         
115     1000        298.36          250.55          6.69            1114.18         
116     1000        309.60          266.63          9.52            1076.15         
117     1000        316.76          275.23          6.52            1189.18         
118     1000        325.26          279.74          6.26            1201.80         
119     1000        329.13          283.55          1.86            1098.10         
120     1000        334.21          279.09          8.40            1114.88         
121     1000        325.39          276.56          8.31            1150.81         
122     1000        332.22          281.96          6.83            1163.31         
123     1000        346.38          289.37          3.23            1104.55         
124     1000        349.44          296.94          5.79            1121.10         
125     1000        345.72          297.14          7.85            1079.81         
126     1000        365.13          308.58          3.86            1088.40         
127     1000        359.63          298.90          6.74            1128.17         
128     1000        360.69          307.93          8.72            1204.55         
129     1000        365.33          300.81          1.86            1109.47         
130     1000        398.92          319.01          7.15            1152.17         
131     1000        397.25          324.65          6.03            1111.51         
132     1000        403.48          322.54          8.24            1190.21         
133     1000        402.55          323.44          7.12            1152.06         
134     1000        402.61          322.23          8.80            1108.04         
135     1000        398.75          321.76          9.40            1124.68         
136     1000        419.23          329.48          6.59            1123.85         
137     1000        409.08          327.19          11.05           1156.65         
138     1000        423.52          334.52          8.59            1192.36         
139     1000        426.25          340.98          13.11           1243.39         
140     1000        434.61          332.75          11.63           1153.50         
141     1000        436.23          330.33          7.33            1153.08         
142     1000        451.01          338.07          8.85            1197.34         
143     1000        458.17          345.32          10.55           1182.62         
144     1000        462.10          343.08          9.33            1142.47         
145     1000        466.72          346.29          3.18            1204.53         
146     1000        474.80          341.89          8.03            1170.60         
147     1000        463.57          346.88          5.77            1130.94         
148     1000        462.87          340.43          13.82           1177.81         
149     1000        467.16          346.54          9.28            1218.92         
150     1000        478.41          351.19          9.03            1177.67         
151     1000        495.66          352.06          7.52            1206.22         
152     1000        489.38          353.34          11.01           1258.46         
