environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 30
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 1620
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -563.79         33.72           -665.30         -441.91         
1       200         -566.64         41.67           -871.54         -453.13         
2       200         -563.79         36.66           -674.18         -374.79         
3       200         -563.42         37.27           -651.96         -349.50         
4       200         -560.68         29.99           -664.41         -438.68         
5       200         -554.40         38.27           -807.01         -437.07         
6       200         -559.72         34.74           -723.85         -433.04         
7       200         -558.51         33.91           -664.33         -435.96         
8       200         -555.97         28.88           -617.48         -459.72         
9       200         -557.69         31.01           -667.65         -480.02         
10      200         -562.47         45.25           -1013.79        -433.36         
11      200         -557.45         31.13           -645.26         -428.14         
12      200         -560.94         34.04           -681.39         -430.59         
13      200         -554.95         35.68           -657.76         -396.79         
14      200         -554.95         35.72           -757.80         -442.97         
15      200         -557.23         31.62           -675.60         -457.70         
16      200         -555.00         37.17           -737.16         -455.27         
17      200         -555.22         31.24           -646.56         -432.54         
18      200         -550.74         35.37           -651.41         -393.08         
19      200         -554.21         30.48           -652.33         -455.40         
20      200         -555.33         31.08           -623.59         -459.76         
21      200         -554.72         39.13           -763.32         -414.92         
22      200         -553.17         34.52           -620.81         -378.25         
23      200         -550.87         33.36           -656.96         -440.73         
24      200         -550.75         38.20           -757.55         -460.60         
25      200         -551.70         33.56           -678.10         -463.86         
26      200         -550.97         40.57           -694.17         -380.05         
27      200         -549.70         35.41           -634.93         -398.36         
28      200         -555.25         29.46           -683.13         -469.72         
29      200         -549.99         36.05           -702.03         -366.67         
30      200         -554.02         33.32           -644.95         -408.68         
31      200         -554.26         35.58           -700.47         -417.22         
32      200         -556.41         36.80           -721.54         -368.40         
33      200         -554.98         38.18           -762.53         -425.60         
34      200         -553.18         36.24           -641.04         -428.96         
35      200         -557.55         46.16           -1003.79        -466.08         
36      200         -549.41         39.36           -724.43         -383.82         
37      200         -549.09         34.53           -649.07         -414.70         
38      200         -551.73         38.13           -714.19         -409.94         
39      200         -555.02         41.41           -746.38         -429.48         
40      200         -554.42         36.89           -729.63         -460.27         
41      200         -546.00         39.05           -658.53         -409.88         
