environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 26
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 30
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 1650
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       26          -534.20         75.51           -756.69         -395.52         
1       26          -555.24         76.44           -791.62         -339.98         
2       26          -532.01         129.46          -807.75         -66.82          
3       26          -543.10         98.09           -829.53         -271.12         
4       26          -590.31         110.77          -936.37         -391.00         
5       26          -544.69         121.28          -762.02         -162.05         
6       26          -556.14         78.71           -701.15         -337.01         
7       26          -573.90         80.85           -752.79         -369.71         
8       26          -541.66         133.46          -1053.36        -279.24         
9       26          -565.74         110.39          -947.24         -320.03         
10      26          -558.30         112.85          -753.81         -309.64         
11      26          -541.44         99.40           -661.32         -177.50         
12      26          -575.72         112.22          -901.81         -429.62         
13      26          -558.12         79.63           -693.43         -307.70         
14      26          -563.94         138.54          -859.69         -183.02         
15      26          -583.16         168.06          -1072.59        -57.78          
16      26          -519.04         152.58          -799.30         -98.99          
17      26          -554.88         183.86          -976.93         -222.20         
18      26          -544.61         189.08          -886.03         24.85           
19      26          -553.82         106.78          -786.85         -224.86         
20      26          -562.69         128.39          -897.18         -329.43         
21      26          -562.26         156.38          -767.24         -99.81          
22      26          -485.57         146.49          -742.57         -65.45          
23      26          -487.85         113.50          -688.31         -191.58         
24      26          -481.34         118.71          -725.40         -308.22         
25      26          -479.63         215.88          -1070.43        -132.06         
26      26          -449.69         152.68          -686.11         -150.86         
27      26          -471.51         166.58          -841.51         -92.71          
28      26          -449.90         137.06          -720.86         -216.80         
29      26          -467.10         151.16          -630.79         171.83          
30      26          -486.59         146.77          -891.42         -200.16         
31      26          -415.67         187.37          -675.26         91.12           
32      26          -436.38         135.18          -598.90         -47.69          
33      26          -424.75         148.35          -676.95         -111.58         
34      26          -513.52         123.14          -770.23         -151.16         
35      26          -466.79         114.57          -628.12         -264.94         
36      26          -476.55         129.02          -613.57         -67.96          
37      26          -495.00         101.17          -606.75         -196.13         
38      26          -490.98         111.67          -606.22         -233.72         
39      26          -472.23         148.30          -612.86         -102.04         
40      26          -487.69         198.23          -1083.31        -34.53          
41      26          -453.80         140.28          -603.43         -78.75          
42      26          -440.90         167.18          -624.78         -30.10          
43      26          -449.09         161.09          -708.44         -87.98          
44      26          -393.93         181.13          -607.01         12.17           
45      26          -419.69         183.56          -638.44         -57.98          
46      26          -327.31         254.80          -625.53         370.19          
47      26          -517.88         228.48          -1406.62        -166.97         
48      26          -428.21         186.72          -737.44         37.67           
49      26          -450.36         144.59          -638.90         -179.96         
50      26          -386.63         155.22          -603.79         -86.37          
51      26          -425.56         196.99          -656.06         242.14          
52      26          -398.34         272.24          -752.61         414.04          
53      26          -372.48         247.85          -785.58         382.61          
