environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 1
population_size: 500
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 3
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True

Genome Size: 60
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         32.93           54.02           0.02            845.31          
1       500         31.79           39.99           0.52            305.67          
2       500         32.09           58.86           0.04            1016.46         
3       500         33.91           46.38           0.10            441.16          
4       500         42.24           95.41           0.22            1021.72         
5       500         38.61           72.00           -0.95           1015.11         
6       500         40.59           77.67           -0.74           1002.82         
7       500         41.05           62.11           -0.13           982.24          
8       500         44.59           90.04           -0.58           1011.62         
9       500         42.41           64.85           -1.58           992.43          
10      500         41.34           69.71           -1.57           978.42          
11      500         46.06           88.57           -1.75           988.28          
12      500         47.07           82.13           -1.61           975.69          
13      500         63.03           111.25          -1.02           999.45          
14      500         71.26           146.89          -1.66           1010.16         
15      500         78.09           158.63          -1.74           1029.08         
16      500         76.24           147.38          -1.75           1054.09         
17      500         86.20           189.77          -1.75           1024.96         
18      500         76.98           144.43          -1.75           1023.52         
19      500         92.52           172.81          -1.75           1020.20         
20      500         80.80           159.39          -1.77           1046.76         
21      500         84.45           167.33          -1.77           1143.74         
22      500         112.24          211.85          -1.81           1026.63         
23      500         119.33          199.72          -2.18           1054.13         
24      500         136.91          223.89          -1.77           1025.67         
25      500         123.81          213.63          -1.75           1034.40         
26      500         132.57          217.67          -2.19           1046.89         
27      500         141.79          215.59          -1.75           1056.45         
28      500         143.83          228.54          -1.69           1033.47         
29      500         169.34          269.97          -1.75           1029.35         
30      500         154.58          243.12          -1.75           1038.77         
31      500         145.65          229.09          -1.77           1050.13         
32      500         185.76          268.31          -1.90           1051.05         
33      500         167.50          245.44          -1.81           1042.85         
34      500         220.00          306.05          -0.58           1073.06         
35      500         208.25          291.05          -1.77           1055.04         
36      500         212.83          291.60          -1.75           1035.43         
37      500         235.10          323.22          -1.75           1059.06         
38      500         238.96          325.10          -1.75           1032.88         
39      500         241.75          326.35          -1.77           1067.08         
40      500         248.02          330.16          -1.75           1035.10         
41      500         262.61          330.55          -1.75           1069.14         
42      500         288.81          349.93          -1.75           1068.93         
43      500         291.60          350.23          1.27            1039.42         
44      500         325.71          365.74          -1.75           1078.07         
45      500         361.08          385.07          -1.75           1046.48         
46      500         372.29          399.29          -1.75           1050.27         
47      500         394.40          402.17          -1.75           1051.32         
48      500         366.45          390.37          -1.75           1058.04         
49      500         394.57          404.79          -1.75           1162.24         
50      500         430.65          407.74          -1.75           1043.87         
51      500         419.61          404.18          2.73            1050.32         
52      500         454.84          422.91          -1.75           1039.79         
53      500         445.84          406.44          -1.75           1050.24         
54      500         466.11          414.18          -1.75           1048.00         
55      500         487.38          417.89          0.81            1077.08         
56      500         520.09          425.73          -1.75           1094.96         
57      500         570.70          422.97          1.00            1122.03         
58      500         555.77          424.67          -1.75           1074.99         
59      500         587.95          417.18          -1.75           1106.66         
60      500         629.56          405.88          1.64            1049.85         
61      500         650.36          409.82          -1.62           1096.96         
62      500         680.57          402.42          -1.75           1071.45         
63      500         646.87          405.20          -1.77           1061.00         
64      500         710.68          385.27          1.04            1094.50         
65      500         679.90          393.80          4.13            1166.82         
66      500         671.39          399.14          2.78            1160.89         
67      500         669.88          402.24          -1.75           1077.21         
68      500         705.13          390.19          7.53            1158.28         
69      500         703.88          381.78          2.41            1072.76         
70      500         759.02          358.71          1.64            1124.78         
71      500         763.62          365.32          -1.03           1144.57         
72      500         720.32          388.30          1.15            1281.48         
73      500         742.22          365.61          3.25            1099.90         
74      500         786.81          347.34          2.94            1089.84         
75      500         792.52          345.19          0.68            1181.75         
76      500         771.68          348.77          1.82            1104.53         
77      500         769.83          359.44          -0.67           1142.84         
78      500         790.01          350.36          3.83            1135.69         
79      500         769.15          359.78          -1.77           1175.95         
80      500         757.85          376.65          1.64            1157.84         
81      500         788.60          353.00          -0.34           1177.37         
82      500         788.74          357.81          -1.20           1165.47         
83      500         823.92          321.66          0.21            1112.48         
84      500         807.85          332.55          -1.75           1167.43         
85      500         835.89          307.32          6.08            1131.58         
86      500         822.26          326.57          5.24            1182.23         
87      500         777.50          360.83          1.64            1201.57         
88      500         817.17          326.91          -1.75           1180.52         
89      500         881.68          285.13          3.71            1134.69         
90      500         869.20          296.30          -1.75           1146.99         
91      500         880.59          282.05          -0.09           1190.29         
92      500         868.84          292.17          1.84            1164.04         
93      500         893.71          269.14          20.95           1177.12         
94      500         893.16          275.10          7.53            1138.49         
95      500         881.03          279.71          3.06            1166.08         
96      500         882.44          280.81          -1.75           1157.23         
97      500         914.74          250.55          4.68            1177.78         
98      500         905.24          252.89          2.59            1178.80         
99      500         928.04          239.03          3.53            1197.10         
100     500         915.91          245.89          4.82            1218.64         
101     500         926.37          226.47          123.58          1191.10         
102     500         921.63          238.69          1.09            1182.51         
103     500         925.04          237.29          3.11            1170.32         
104     500         934.06          222.88          -0.12           1168.67         
105     500         940.58          223.83          54.83           1181.99         
106     500         950.17          213.21          2.74            1180.30         
107     500         935.96          225.82          20.63           1181.56         
108     500         959.00          198.23          8.43            1195.14         
109     500         936.08          226.97          17.42           1214.92         
110     500         938.90          218.19          4.81            1203.23         
111     500         956.69          206.02          -0.09           1206.59         
112     500         955.90          201.76          67.58           1194.07         
113     500         944.35          221.09          3.06            1208.33         
114     500         931.64          219.10          43.74           1182.37         
115     500         934.68          222.50          -0.77           1188.01         
116     500         945.34          208.18          0.04            1219.33         
117     500         936.90          216.29          43.42           1194.15         
118     500         949.45          202.69          2.41            1192.52         
119     500         967.18          187.02          17.55           1187.57         
120     500         968.10          174.59          345.30          1206.28         
121     500         962.29          199.48          4.68            1220.01         
122     500         972.08          182.98          3.52            1182.68         
123     500         967.36          183.31          5.32            1192.89         
124     500         982.18          165.76          70.59           1188.00         
125     500         961.08          190.76          201.43          1199.98         
126     500         967.09          178.82          74.33           1180.21         
127     500         959.04          185.47          6.65            1189.15         
128     500         968.55          176.61          38.54           1185.68         
129     500         960.85          183.83          61.97           1202.96         
130     500         969.04          181.32          3.96            1189.21         
131     500         966.56          171.44          362.32          1203.37         
132     500         958.66          181.24          247.54          1195.50         
133     500         974.16          166.71          405.82          1202.17         
134     500         974.62          164.79          318.30          1200.43         
135     500         952.23          178.20          94.24           1195.26         
136     500         981.22          165.57          320.16          1185.31         
137     500         975.71          169.87          282.16          1206.38         
138     500         966.31          172.76          386.99          1199.18         
139     500         979.49          169.82          195.75          1207.15         
140     500         971.80          161.22          477.68          1199.03         
141     500         960.37          175.40          413.53          1201.90         
142     500         954.77          181.98          5.75            1214.65         
143     500         962.93          172.20          366.24          1207.12         
144     500         972.82          169.85          401.68          1207.40         
145     500         964.01          174.91          279.33          1204.34         
146     500         974.94          166.67          415.99          1201.86         
147     500         962.54          172.92          393.31          1215.62         
148     500         965.52          180.41          364.93          1206.42         
149     500         979.80          162.08          361.11          1204.15         
150     500         964.94          177.80          354.28          1205.50         
151     500         982.48          161.25          400.46          1197.95         
152     500         977.10          159.18          352.55          1199.51         
153     500         977.02          162.42          471.66          1206.87         
154     500         966.72          169.01          454.45          1195.61         
155     500         976.77          161.41          426.23          1195.93         
156     500         939.07          187.61          389.22          1203.63         
157     500         964.07          177.91          435.80          1203.21         
158     500         974.40          165.82          415.79          1202.97         
159     500         973.85          164.39          395.92          1203.33         
160     500         983.98          156.18          482.02          1208.04         
161     500         964.69          172.85          423.51          1189.28         
162     500         971.92          158.30          458.76          1192.12         
163     500         973.12          173.57          319.13          1211.52         
164     500         960.51          175.69          431.05          1178.60         
165     500         976.03          162.94          487.98          1196.93         
166     500         970.65          166.36          468.87          1207.17         
167     500         965.02          170.03          467.64          1204.79         
168     500         959.48          169.70          434.59          1207.85         
169     500         983.88          155.64          434.30          1196.04         
170     500         970.66          168.54          351.90          1206.87         
