environment: Hopper-v2
neural_network_type: LNN
random_seed_for_environment: 4
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
use_biases: False
number_neurons_layer1: 4
number_neurons_layer2: 2

Genome Size: 58
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         13.44           18.47           -1.35           88.77           
1       100         13.10           23.90           -1.39           199.48          
2       100         16.79           34.24           -1.29           271.65          
3       100         14.83           20.02           -1.18           114.38          
4       100         24.90           50.90           -1.35           444.51          
5       100         24.28           28.03           -1.16           162.07          
6       100         33.02           47.95           0.31            265.71          
7       100         26.73           43.05           -0.68           213.81          
8       100         25.13           50.79           0.40            449.82          
9       100         23.37           27.40           -0.51           179.51          
10      100         31.12           43.91           -1.43           217.23          
11      100         53.60           138.69          0.41            981.12          
12      100         51.29           116.85          -0.56           1003.85         
13      100         39.41           44.95           0.59            259.60          
14      100         41.59           102.59          -0.87           1012.73         
15      100         46.91           63.96           -1.33           438.80          
16      100         42.70           38.90           -1.36           198.97          
17      100         64.10           111.23          -0.80           980.50          
18      100         50.76           64.20           -1.21           419.06          
19      100         54.19           58.28           -1.37           266.53          
20      100         96.02           101.22          -1.36           532.41          
21      100         81.90           93.01           -1.32           652.67          
22      100         105.54          101.37          -1.35           469.47          
23      100         103.21          127.77          -1.92           1017.75         
24      100         100.43          90.09           -1.36           301.22          
25      100         104.17          113.37          -1.36           648.95          
26      100         125.01          123.13          -1.17           1016.47         
27      100         109.92          131.10          -1.19           1027.21         
28      100         115.04          97.70           -1.36           342.61          
29      100         149.96          177.82          -1.16           1026.37         
30      100         113.19          132.56          -1.36           1018.34         
31      100         146.17          153.85          -1.36           1030.48         
32      100         136.33          138.65          -1.35           967.34          
33      100         153.64          138.57          -1.36           1022.13         
34      100         160.38          159.25          -1.35           1022.97         
35      100         183.90          196.60          -1.36           1132.47         
36      100         179.84          174.58          -1.36           1011.39         
37      100         192.49          230.84          -1.36           1027.16         
38      100         260.49          258.71          -1.36           1026.01         
39      100         227.14          256.17          -1.36           1050.31         
40      100         216.49          280.51          -1.39           1025.22         
41      100         325.08          344.21          -1.36           1045.25         
42      100         332.21          364.74          0.24            1031.83         
43      100         218.42          270.17          -1.36           1026.30         
44      100         369.97          370.52          3.10            1093.54         
45      100         313.58          349.37          -1.36           1087.67         
46      100         324.45          362.94          -1.45           1036.03         
47      100         287.53          304.78          -1.36           1029.88         
48      100         449.65          391.95          -1.36           1037.31         
49      100         392.40          369.91          -1.36           1027.57         
50      100         508.33          407.09          1.02            1028.45         
51      100         417.85          409.17          -1.36           1042.16         
52      100         461.50          414.14          -1.41           1041.58         
53      100         499.04          398.25          0.38            1030.76         
54      100         518.40          412.52          -1.36           1062.03         
55      100         539.89          419.25          14.25           1036.93         
56      100         519.33          398.22          3.28            1063.98         
57      100         526.65          423.03          5.25            1034.00         
58      100         456.06          408.04          3.10            1032.37         
59      100         498.94          409.50          0.43            1030.41         
60      100         529.98          407.63          4.92            1059.31         
61      100         680.96          401.92          3.10            1047.00         
62      100         669.85          391.87          1.60            1032.04         
63      100         664.62          388.14          24.91           1047.43         
64      100         655.75          401.37          5.34            1048.16         
65      100         676.36          385.66          25.86           1046.17         
66      100         781.50          359.35          19.30           1041.44         
67      100         712.85          374.81          76.37           1037.78         
68      100         756.92          361.37          42.13           1085.68         
69      100         699.60          383.48          13.45           1060.13         
70      100         640.60          398.89          34.71           1060.59         
71      100         694.68          374.92          85.57           1050.56         
72      100         690.70          386.01          88.31           1056.05         
73      100         697.37          376.11          49.47           1050.93         
74      100         709.86          370.56          107.42          1051.89         
75      100         747.26          343.46          11.96           1053.70         
76      100         715.39          375.36          61.37           1056.39         
77      100         741.72          362.59          63.55           1073.89         
78      100         707.02          360.62          100.83          1059.76         
79      100         734.11          362.10          30.27           1065.08         
80      100         685.86          380.68          28.41           1065.37         
81      100         735.81          346.78          6.09            1055.43         
82      100         741.15          346.72          104.48          1073.49         
83      100         775.41          344.05          55.01           1078.87         
84      100         721.22          365.18          57.57           1068.98         
85      100         660.09          376.49          19.00           1073.71         
86      100         648.26          379.89          18.89           1078.38         
87      100         811.40          339.71          135.05          1083.16         
88      100         770.44          335.15          106.32          1080.99         
89      100         679.90          361.98          114.89          1072.27         
90      100         734.94          351.44          49.06           1077.53         
91      100         730.00          360.48          90.29           1072.42         
92      100         861.21          284.00          174.79          1069.58         
93      100         722.13          341.04          119.95          1076.01         
94      100         843.92          296.58          137.58          1078.38         
95      100         775.89          326.79          99.68           1072.75         
96      100         838.68          302.02          151.64          1075.95         
97      100         829.81          327.31          130.75          1081.93         
98      100         791.83          337.88          65.54           1088.57         
99      100         774.78          327.20          144.14          1088.53         
100     100         746.48          354.25          52.87           1095.13         
101     100         768.88          373.08          80.73           1111.69         
102     100         745.54          361.83          30.95           1098.73         
103     100         786.33          339.20          53.07           1099.17         
104     100         784.29          347.08          135.97          1095.50         
105     100         762.79          372.35          37.69           1102.30         
106     100         775.67          363.41          46.17           1103.29         
107     100         722.21          387.10          40.79           1100.88         
108     100         813.38          338.34          125.72          1103.18         
109     100         808.90          335.12          117.85          1084.98         
110     100         849.73          328.81          132.53          1093.49         
111     100         841.81          319.11          112.90          1104.57         
