environment: Hopper-v2
neural_network_type: LNN
random_seed_for_environment: 2
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
use_biases: True
number_neurons_layer1: 8
number_neurons_layer2: 4

Genome Size: 147
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         15.10           30.97           -1.56           195.33          
1       200         27.09           77.02           -0.72           1009.46         
2       200         25.55           66.82           -0.67           705.69          
3       200         28.44           76.12           -1.58           985.50          
4       200         33.63           45.45           -0.97           439.84          
5       200         54.03           137.56          -1.43           999.29          
6       200         32.64           38.06           -1.65           211.87          
7       200         42.21           79.76           -1.66           999.86          
8       200         43.81           79.53           -1.60           987.41          
9       200         35.45           60.14           -1.65           749.85          
10      200         41.51           76.94           -1.65           999.24          
11      200         51.89           110.20          -1.55           999.03          
12      200         41.94           46.57           -1.71           314.31          
13      200         49.01           105.04          -1.58           994.15          
14      200         47.35           87.98           -1.66           1000.78         
15      200         39.69           81.45           -1.62           1017.97         
16      200         48.39           86.93           -1.64           988.97          
17      200         39.09           76.16           -1.62           992.79          
18      200         45.90           80.87           -1.65           981.49          
19      200         44.36           80.27           -1.59           994.75          
20      200         76.83           179.80          -1.66           1010.85         
21      200         60.85           118.22          -1.67           994.93          
22      200         55.17           117.60          -1.66           1025.28         
23      200         48.49           50.67           -1.72           300.97          
24      200         71.28           156.14          -1.67           1009.78         
25      200         63.40           87.05           -1.46           968.04          
26      200         55.38           98.53           -1.67           1025.12         
27      200         66.99           96.83           -1.64           988.46          
28      200         71.15           99.06           -1.66           973.42          
29      200         81.74           131.70          -1.66           1000.40         
30      200         78.70           125.92          -1.64           1013.85         
31      200         96.14           147.23          -1.66           1017.64         
32      200         81.55           119.80          -1.18           1014.85         
33      200         103.92          140.32          -1.68           973.56          
34      200         104.64          157.43          -1.67           1008.97         
35      200         114.87          165.93          -1.66           1009.55         
36      200         126.05          199.31          -1.65           1022.98         
37      200         139.99          221.39          -1.67           1083.47         
38      200         112.45          157.36          -1.64           1022.59         
39      200         118.56          170.99          -1.51           1031.60         
40      200         138.05          207.10          -1.69           1023.85         
41      200         170.15          248.12          -1.66           1029.86         
42      200         142.05          207.05          -1.66           1066.07         
43      200         130.63          205.07          -1.65           1003.23         
44      200         151.09          231.17          -1.66           1023.14         
45      200         156.25          213.51          -1.14           1023.63         
46      200         210.68          291.39          -1.55           1030.90         
47      200         150.29          205.55          -1.67           1030.62         
48      200         146.62          215.22          -0.49           1024.44         
49      200         193.87          265.74          -1.66           1027.99         
50      200         170.49          220.89          -1.46           1017.76         
51      200         177.33          244.23          -1.66           1028.61         
52      200         184.09          240.81          -1.63           1033.37         
53      200         215.62          289.36          -1.66           1027.19         
54      200         226.83          302.53          -1.66           1037.46         
55      200         189.13          256.98          -1.73           1020.65         
56      200         254.48          305.11          -1.66           1026.08         
57      200         221.59          274.53          -1.65           1026.72         
58      200         217.52          287.22          -1.59           1026.55         
59      200         247.09          304.17          -1.67           1027.53         
60      200         311.02          326.90          -1.66           1030.46         
61      200         274.78          315.42          -1.65           1030.56         
62      200         262.08          316.88          -1.67           1037.54         
63      200         328.77          354.91          -1.66           1032.36         
64      200         355.40          364.44          -1.66           1047.36         
65      200         325.95          353.42          -1.66           1032.65         
66      200         364.93          367.84          -1.43           1033.98         
67      200         315.65          353.59          -1.70           1031.34         
68      200         366.95          375.98          -1.60           1037.20         
69      200         381.76          392.20          -0.51           1041.18         
70      200         440.83          394.29          -1.65           1029.76         
71      200         405.62          392.29          -1.73           1041.58         
72      200         398.73          408.23          -1.65           1064.59         
73      200         374.08          391.03          0.83            1032.67         
74      200         390.81          401.12          -1.66           1134.46         
75      200         349.67          374.49          -1.57           1026.36         
76      200         324.01          366.01          -1.66           1031.96         
77      200         379.21          398.88          -1.24           1041.49         
78      200         390.06          402.89          -1.65           1090.23         
79      200         415.96          417.69          -1.66           1083.67         
80      200         406.96          416.05          -1.65           1046.52         
81      200         420.49          415.33          -1.68           1031.21         
82      200         402.47          397.94          -0.81           1033.09         
83      200         442.45          416.47          -1.66           1041.62         
84      200         415.91          409.90          -1.42           1049.50         
85      200         423.36          407.52          -1.65           1070.65         
86      200         457.55          409.31          -1.20           1045.39         
87      200         480.65          431.20          -0.94           1044.06         
88      200         469.58          413.95          -1.66           1034.49         
89      200         502.17          421.90          -1.67           1034.03         
90      200         519.49          428.80          -1.67           1032.27         
91      200         519.96          424.14          -1.66           1041.84         
92      200         531.51          420.71          -1.66           1120.70         
93      200         573.50          408.87          2.82            1061.34         
94      200         601.06          414.21          1.76            1041.85         
95      200         577.30          413.04          -1.63           1057.64         
96      200         577.92          427.76          -1.67           1114.58         
97      200         600.01          420.03          -0.79           1055.57         
98      200         600.57          418.26          -1.65           1095.66         
99      200         631.57          423.21          -0.76           1039.86         
100     200         599.14          414.98          5.86            1098.98         
101     200         586.65          410.65          6.68            1070.40         
102     200         642.51          409.80          6.89            1039.18         
103     200         585.04          421.72          -0.49           1054.55         
104     200         652.37          416.36          -0.82           1059.42         
105     200         665.90          418.24          -1.65           1033.42         
106     200         645.47          421.77          5.83            1037.17         
107     200         554.82          423.29          0.47            1032.61         
108     200         615.66          422.03          -1.67           1033.54         
109     200         642.01          408.19          6.79            1041.68         
110     200         614.71          414.63          -1.66           1041.89         
111     200         681.07          405.36          -1.66           1071.13         
112     200         572.31          412.99          -1.66           1116.42         
113     200         599.48          418.48          -1.65           1040.89         
114     200         572.70          428.34          -1.67           1067.95         
115     200         547.50          442.53          -0.10           1051.23         
116     200         581.16          436.27          -1.65           1083.86         
117     200         550.39          425.11          -1.69           1034.85         
118     200         583.80          410.74          -1.69           1043.88         
119     200         536.10          426.59          -1.61           1033.85         
120     200         571.27          426.58          -1.66           1034.19         
121     200         653.23          423.69          1.96            1038.66         
122     200         704.53          408.08          2.65            1042.31         
123     200         677.50          408.90          -1.67           1036.77         
124     200         713.22          395.16          41.57           1036.21         
125     200         685.30          398.62          18.80           1035.80         
126     200         720.45          391.53          9.62            1040.50         
127     200         730.04          394.68          1.58            1034.46         
128     200         684.01          411.79          -1.66           1040.04         
129     200         699.31          403.21          4.02            1102.13         
130     200         677.78          405.63          15.71           1069.73         
131     200         703.05          401.42          4.82            1051.10         
132     200         733.42          400.56          -0.51           1112.83         
133     200         680.06          415.04          27.95           1065.87         
134     200         614.85          413.98          2.22            1038.58         
135     200         673.81          415.88          5.08            1112.29         
136     200         647.30          418.68          1.16            1043.03         
137     200         592.85          418.85          6.39            1042.84         
138     200         644.97          423.30          5.04            1064.09         
139     200         710.86          393.41          4.79            1117.13         
140     200         664.50          412.56          0.84            1214.64         
141     200         705.15          408.56          7.85            1095.04         
142     200         687.73          403.66          30.50           1034.58         
143     200         683.17          406.39          5.73            1049.46         
