environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 5.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
population_size: 200
number_generations: 1500
sigma: 0.2
number_fitness_runs: 3

Genome Size: 3700
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -5.81           12.25           -33.96          76.70           
1       200         -5.40           18.04           -33.31          200.02          
2       200         -3.41           28.02           -59.51          325.12          
3       200         -3.88           17.28           -33.84          120.64          
4       200         -2.68           19.65           -35.04          146.21          
5       200         -3.24           18.14           -46.55          116.21          
6       200         -2.92           19.26           -64.36          127.74          
7       200         -0.88           20.56           -33.14          110.51          
8       200         -0.78           27.91           -64.30          277.68          
9       200         2.60            25.24           -37.82          142.59          
10      200         4.51            28.02           -41.08          149.36          
11      200         8.25            36.93           -50.24          309.76          
12      200         6.24            27.18           -59.26          139.68          
13      200         10.71           35.48           -52.82          188.90          
14      200         19.79           41.63           -40.12          217.52          
15      200         16.32           33.69           -60.88          159.81          
16      200         27.72           49.68           -54.28          244.49          
17      200         24.62           42.14           -65.50          235.01          
18      200         27.67           49.04           -32.48          245.54          
19      200         41.86           53.46           -27.02          238.37          
20      200         34.74           51.77           -65.41          254.58          
21      200         38.46           52.42           -41.41          304.17          
22      200         42.42           50.59           -26.93          223.79          
23      200         53.31           67.77           -40.58          384.81          
24      200         68.20           63.49           -37.06          319.63          
25      200         74.04           66.39           -52.60          316.28          
26      200         75.70           77.22           -21.54          498.68          
27      200         78.02           63.26           -26.85          301.48          
28      200         97.21           70.23           -35.72          383.72          
29      200         105.32          89.19           -30.02          465.59          
30      200         103.16          77.56           -13.19          477.93          
31      200         99.41           74.50           -28.42          434.62          
32      200         114.48          101.24          -22.20          743.13          
33      200         114.80          81.28           -51.64          567.62          
34      200         110.84          71.78           -34.16          523.19          
35      200         120.51          89.00           -14.37          489.20          
36      200         128.45          83.13           -17.93          414.06          
37      200         130.06          99.01           -83.54          757.06          
38      200         139.79          105.24          -35.85          843.19          
39      200         143.15          93.96           -17.62          617.97          
40      200         139.47          84.95           -25.28          444.02          
41      200         140.88          98.99           -35.38          481.96          
42      200         151.20          96.67           -14.34          478.34          
43      200         156.71          104.12          -22.04          561.46          
44      200         158.63          113.13          -22.70          564.04          
45      200         166.82          114.63          -6.87           659.53          
46      200         178.53          125.63          -32.09          605.18          
47      200         173.14          127.76          -21.01          778.74          
48      200         167.55          118.94          -14.80          792.92          
49      200         175.96          118.90          -4.85           590.64          
50      200         183.63          114.42          -43.52          710.43          
51      200         189.03          127.95          3.90            724.65          
52      200         172.84          119.89          -17.03          581.18          
53      200         191.70          121.04          -2.13           686.35          
54      200         181.66          118.32          1.37            656.85          
55      200         198.76          129.97          -4.83           590.07          
56      200         200.84          140.20          -21.59          896.05          
57      200         206.15          129.80          -13.05          734.88          
58      200         221.90          140.17          8.07            798.48          
59      200         226.56          138.90          20.08           772.16          
60      200         222.93          134.56          0.99            729.08          
61      200         230.68          148.42          15.51           699.35          
62      200         260.40          168.57          33.99           796.72          
63      200         250.92          167.25          -13.63          742.36          
64      200         249.01          172.86          8.71            813.83          
65      200         254.63          159.95          7.49            763.01          
66      200         273.67          171.67          -20.01          1007.21         
67      200         267.76          175.87          7.20            1008.51         
68      200         280.81          181.13          -15.82          993.00          
69      200         306.97          194.07          -16.89          998.02          
70      200         293.36          196.38          18.04           997.06          
71      200         294.61          180.55          -2.19           1026.78         
72      200         287.20          178.76          -13.19          1021.53         
73      200         298.77          179.30          30.40           931.81          
74      200         303.23          185.61          13.11           921.85          
75      200         289.17          170.42          -19.11          950.38          
76      200         307.30          190.47          17.02           1015.84         
77      200         330.04          194.29          33.04           985.11          
78      200         330.54          213.50          -18.42          995.39          
79      200         351.34          223.82          -10.18          1033.07         
80      200         370.40          228.74          -14.64          996.34          
81      200         344.77          218.45          -16.90          1025.87         
82      200         350.65          213.08          49.42           1002.22         
83      200         332.53          203.95          -21.98          1003.14         
84      200         396.86          229.29          30.31           1004.08         
85      200         383.40          221.83          51.95           1029.22         
86      200         393.93          241.46          23.14           1040.00         
87      200         398.23          258.78          37.19           1037.70         
88      200         405.84          242.72          55.09           1049.41         
89      200         448.08          262.13          47.28           1034.30         
90      200         443.11          255.97          67.60           1033.21         
91      200         427.34          253.04          40.33           1029.02         
92      200         450.18          247.33          43.36           1022.35         
93      200         468.17          273.50          -12.94          1031.98         
94      200         468.14          274.36          8.80            1052.37         
95      200         515.70          280.92          47.60           1047.83         
96      200         509.24          289.29          24.76           1042.28         
97      200         497.41          278.99          25.64           1043.54         
98      200         499.84          284.68          78.94           1048.29         
99      200         533.14          294.97          72.52           1026.21         
100     200         483.42          281.10          16.57           1028.18         
101     200         512.97          278.17          36.23           1053.89         
102     200         490.82          286.68          55.30           1044.43         
103     200         559.12          318.60          32.30           1046.26         
104     200         546.55          292.47          54.33           1057.52         
105     200         515.52          292.60          37.02           1058.43         
106     200         580.11          295.41          51.77           1064.75         
107     200         590.65          316.26          53.69           1070.17         
108     200         551.59          309.07          41.66           1055.33         
109     200         542.95          304.88          46.63           1054.95         
110     200         581.45          310.12          63.28           1055.64         
111     200         562.92          315.01          40.29           1072.94         
112     200         563.05          317.11          46.82           1070.96         
113     200         563.69          314.30          70.48           1069.22         
114     200         626.82          322.77          71.85           1068.72         
115     200         593.33          329.13          50.48           1067.71         
116     200         697.60          325.62          65.43           1065.95         
117     200         608.13          338.74          32.92           1068.80         
118     200         641.14          350.80          81.88           1076.19         
119     200         720.09          320.84          32.02           1077.88         
120     200         615.25          332.38          26.56           1071.32         
121     200         684.42          352.14          46.86           1074.50         
122     200         614.83          363.66          37.94           1076.38         
123     200         611.93          361.44          30.25           1073.60         
124     200         699.13          368.11          23.80           1072.84         
125     200         660.66          372.45          47.78           1074.97         
126     200         686.05          350.41          27.26           1072.50         
127     200         654.27          373.24          38.07           1069.25         
128     200         664.57          372.58          33.12           1071.46         
129     200         619.84          386.98          32.63           1071.39         
130     200         684.45          373.32          -2.92           1078.40         
131     200         739.78          372.17          39.15           1078.15         
132     200         664.03          386.86          45.37           1073.33         
133     200         702.95          385.95          51.01           1074.81         
134     200         664.97          394.33          24.10           1086.90         
135     200         673.51          398.77          -11.12          1080.48         
136     200         669.03          387.48          39.08           1078.46         
