environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 100
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
population_size: 50
number_generations: 2500
sigma: 1.0
number_fitness_runs: 3

Genome Size: 860
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       50          -8.55           6.98            -19.60          15.45           
1       50          -9.03           5.41            -19.43          8.32            
2       50          -8.96           5.51            -19.92          2.27            
3       50          -7.10           7.57            -20.02          16.74           
4       50          -5.64           6.35            -19.98          14.31           
5       50          -3.93           9.37            -17.16          20.41           
6       50          -2.22           11.36           -23.99          36.89           
7       50          2.22            13.03           -16.22          62.09           
8       50          9.44            27.71           -15.93          145.28          
9       50          12.28           26.80           -15.35          119.15          
10      50          7.27            22.04           -29.92          93.84           
11      50          17.63           30.37           -14.78          124.12          
12      50          25.93           46.55           -46.46          168.72          
13      50          41.54           60.10           -17.08          338.46          
14      50          50.09           93.37           -29.85          527.68          
15      50          75.68           85.26           -1.72           389.62          
16      50          65.91           79.50           -17.92          276.91          
17      50          95.23           97.61           -28.47          377.25          
18      50          98.17           120.30          -16.81          762.88          
19      50          140.97          178.26          -18.73          996.05          
20      50          144.56          157.04          -19.19          663.29          
21      50          128.33          93.53           -3.08           341.04          
22      50          138.11          108.16          -42.00          478.86          
23      50          131.08          113.77          -8.93           490.85          
24      50          168.97          110.01          4.81            493.63          
25      50          194.27          156.96          9.53            959.63          
26      50          160.73          126.67          -19.83          585.90          
27      50          184.80          154.47          5.95            996.91          
28      50          202.37          146.54          -23.56          650.96          
29      50          299.83          242.37          -1.16           1026.46         
30      50          256.96          210.96          11.41           813.92          
31      50          247.41          215.91          -15.84          974.83          
32      50          321.91          266.20          -4.54           992.29          
33      50          264.65          248.60          -16.28          981.84          
34      50          317.59          241.11          25.46           1022.25         
35      50          318.95          293.81          -33.13          1032.72         
36      50          330.01          274.83          -1.81           996.39          
37      50          320.69          242.83          6.75            1004.72         
38      50          377.07          288.05          6.32            1038.68         
39      50          312.17          239.59          6.71            887.05          
40      50          421.72          305.55          15.21           1027.01         
41      50          402.78          283.40          39.36           1014.06         
42      50          493.31          323.06          26.23           1027.15         
43      50          424.72          309.34          48.32           1006.40         
44      50          433.10          305.88          35.01           1048.62         
45      50          433.34          337.40          6.63            1047.15         
46      50          382.31          319.90          2.45            1031.27         
47      50          454.22          323.05          -12.85          1014.68         
48      50          450.90          322.74          5.05            1066.08         
49      50          436.86          314.02          2.81            1043.04         
50      50          461.20          337.13          10.65           1035.28         
51      50          545.87          408.26          -4.29           1050.55         
52      50          523.32          386.99          13.10           1067.22         
53      50          564.34          362.90          -9.45           1067.29         
54      50          539.61          324.85          36.68           1060.40         
55      50          553.85          345.28          64.72           1049.56         
56      50          542.04          376.98          20.88           1065.34         
57      50          608.20          357.26          42.40           1048.55         
58      50          535.39          333.00          37.21           1053.84         
59      50          472.16          341.77          8.51            1048.76         
60      50          620.22          358.00          47.74           1047.61         
61      50          699.34          338.72          38.24           1044.72         
62      50          661.09          374.20          64.46           1068.51         
63      50          598.40          356.36          -4.05           1053.47         
64      50          576.55          358.97          -20.03          1046.22         
65      50          686.24          336.56          30.46           1045.31         
66      50          658.28          361.67          45.98           1060.48         
67      50          707.00          349.88          31.73           1064.55         
68      50          639.87          386.07          40.19           1062.52         
69      50          616.30          376.96          -9.42           1058.98         
70      50          654.38          390.29          -17.08          1071.72         
71      50          636.50          370.05          -16.81          1064.17         
72      50          590.59          367.91          3.11            1051.58         
73      50          536.42          378.74          -17.42          1059.29         
74      50          722.52          331.61          1.66            1063.06         
75      50          514.61          377.73          -21.93          1058.96         
76      50          642.48          362.61          24.43           1079.21         
77      50          622.27          350.68          5.23            1066.94         
78      50          676.64          371.93          -1.77           1054.03         
79      50          666.35          362.12          5.07            1068.75         
80      50          676.51          362.24          5.82            1063.23         
81      50          663.84          394.38          -1.69           1061.60         
82      50          602.27          366.81          4.44            1068.24         
83      50          633.33          385.42          3.17            1069.73         
84      50          667.17          368.89          -12.28          1069.74         
85      50          763.04          318.37          65.35           1073.78         
