environment,neural network type,random seed for environment,population size,number generations,sigma,number fitness runs,number neurons,delta t,optimize state boundaries,optimize y0,set principle diagonal elements of W negative,clipping range,use biases,number neurons layer1,number neurons layer2,maximum average,maximum,directory
Hopper-v2,CTRNN,0,100,2500,2.0,1,3,0.05,True,True,False,,,,,1465.703181250241,2780.220235266112,2020-05-15_07-09-38
Walker2d-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,False,True,,,,,3001.937727684566,3615.960223578626,2020-05-10_22-51-41
Walker2d-v2,CTRNN,1,200,2500,1.0,1,30,0.05,True,False,False,,,,,1425.4530377997278,1754.1232196885364,2020-05-11_07-40-54
HalfCheetah-v2,CTRNN,1,200,2500,1.0,1,50,0.05,False,True,True,1.0,,,,850.1125109020958,1064.6362850324683,2020-05-09_12-31-05
Hopper-v2,CTRNN,2,200,2500,0.5,1,5,0.05,True,False,False,,,,,1782.5235943980197,1797.0676396580013,2020-05-15_03-00-50
Ant-v2,CTRNN,2,100,2500,0.5,1,10,0.05,False,True,True,1.0,,,,52.04532244011465,167.87970109648202,2020-05-14_18-12-42
Walker2d-v2,CTRNN,2,100,2500,2.0,1,10,0.05,False,False,False,1.0,,,,1518.0535964577205,1630.8090726045866,2020-05-12_16-00-24
Hopper-v2,CTRNN,3,100,2500,0.5,1,8,0.05,False,True,True,1.0,,,,3092.5149655269106,3615.6783786737274,2020-05-14_22-44-52
Hopper-v2,LNN,3,200,2500,2.0,1,,,,,,,False,4,2,280.0209123663368,1012.321583628485,2020-05-15_22-31-26
HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,True,False,,,,,3864.0083697513683,4053.29335745253,2020-05-08_16-17-24
Walker2d-v2,LNN,0,200,2500,1.0,1,,,,,,,False,32,16,1950.3294232219785,2871.4737875112314,2020-05-08_01-56-53
Reacher-v2,CTRNN,0,200,2500,1.0,50,10,0.05,False,True,True,1.0,,,,-5.210485866922518,-5.138274992549445,2020-05-17_23-50-47
HalfCheetah-v2,CTRNN,4,100,2500,1.0,1,50,0.05,False,True,False,1.0,,,,770.1248116687202,950.9493378627336,2020-05-12_10-26-33
HalfCheetah-v2,CTRNN,0,26,2500,2.0,1,30,0.05,False,True,True,3.0,,,,716.7070425910063,933.4839927987456,2020-05-12_00-33-29
Walker2d-v2,CTRNN,4,200,2500,1.0,1,50,0.05,False,False,True,3.0,,,,1323.4021622221812,1647.8564990839614,2020-05-11_00-52-46
HalfCheetah-v2,CTRNN,3,200,2500,1.0,1,50,0.05,False,True,True,1.0,,,,1116.9907763770084,1258.6649426343333,2020-05-09_20-08-51
Reacher-v2,CTRNN,0,200,2500,1.0,50,10,0.05,False,False,False,1.0,,,,-4.5729228515900795,-4.547447656960554,2020-05-17_21-35-42
HalfCheetah-v2,CTRNN,4,21,2500,0.5,1,10,0.05,False,True,False,1.0,,,,2373.8325005381284,3003.951540572223,2020-05-12_03-26-56
Walker2d-v2,CTRNN,3,500,2500,0.5,1,10,0.05,True,True,False,,,,,1479.1890653726643,1543.433281166824,2020-05-13_04-06-29
HalfCheetah-v2,CTRNN,0,24,2500,0.5,1,20,0.05,True,False,False,,,,,2371.4770635244663,2494.173012783197,2020-05-12_02-27-15
Hopper-v2,LNN,3,200,2500,2.0,1,,,,,,,False,6,3,1205.4606255450528,1254.9536153447948,2020-05-16_04-58-43
Walker2d-v2,CTRNN,0,100,2500,1.0,1,50,0.05,True,True,False,,,,,2595.1647802689367,3200.6480184384113,2020-05-12_23-22-29
Hopper-v2,CTRNN,0,500,2500,0.5,1,3,0.05,False,False,True,1.0,,,,2792.07415821941,2818.7598648739004,2020-05-14_23-26-09
Walker2d-v2,CTRNN,0,200,2500,1.0,1,20,0.05,True,False,True,,,,,3594.0066267991087,4606.530469940907,2020-05-10_17-24-51
HalfCheetah-v2,CTRNN,4,100,2500,0.5,1,30,0.05,False,True,False,3.0,,,,4019.2593867134683,4288.016855308994,2020-05-12_14-42-57
HalfCheetah-v2,CTRNN,4,500,2500,0.5,1,10,0.05,False,True,False,3.0,,,,1561.2766975847449,1599.1169748861423,2020-05-11_15-56-24
Ant-v2,CTRNN,0,200,2500,0.5,1,10,0.05,True,False,False,,,,,1580.2872481284153,2382.4834554071863,2020-05-14_13-34-51
Walker2d-v2,CTRNN,0,200,2500,1.0,1,20,0.05,True,True,True,,,,,2727.3267434865584,4548.238355460194,2020-05-10_09-24-07
Walker2d-v2,CTRNN,0,500,2500,2.0,1,30,0.05,True,True,False,,,,,2465.1401656229623,3652.384135271244,2020-05-14_06-49-56
Walker2d-v2,CTRNN,0,500,2500,1.0,1,20,0.05,True,True,False,,,,,2430.4186279254327,2735.9789455401315,2020-05-13_08-52-17
Hopper-v2,LNN,4,100,2500,2.0,1,,,,,,,False,8,4,2355.9589571438614,3010.3059953075062,2020-05-15_19-51-18
HalfCheetah-v2,CTRNN,1,500,2500,0.5,1,10,0.05,False,True,False,1.0,,,,1385.2643377309082,2602.96541029281,2020-05-14_11-25-34
Hopper-v2,CTRNN,2,100,2500,1.0,1,3,0.05,True,False,False,,,,,2682.4419107071903,3428.513009356944,2020-05-15_06-31-30
HalfCheetah-v2,CTRNN,4,26,2500,0.5,1,30,0.05,True,False,False,,,,,2353.663828386462,2705.8264503329474,2020-05-12_01-29-16
Hopper-v2,LNN,2,200,2500,1.0,1,,,,,,,True,8,4,1440.8987165841818,1654.0010118912294,2020-05-15_22-48-54
Walker2d-v2,CTRNN,2,200,2500,1.0,1,30,0.05,True,False,False,,,,,2642.4630730305776,3468.7839492168623,2020-05-08_21-33-03
Hopper-v2,CTRNN,4,200,2500,0.5,1,5,0.05,True,True,True,,,,,2643.7661595499826,3403.676529297546,2020-05-15_04-28-44
Hopper-v2,LNN,0,200,2500,1.0,1,,,,,,,True,6,3,1606.446104470374,1608.7788711103678,2020-05-16_03-29-49
HalfCheetah-v2,CTRNN,3,500,2500,0.5,1,50,0.05,False,False,True,1.0,,,,4417.833477604389,5263.096202067855,2020-05-13_15-12-46
Hopper-v2,LNN,0,200,2500,2.0,1,,,,,,,True,6,3,1033.9340599973623,1163.7654139090498,2020-05-16_06-26-06
